"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"CAALFM_C100020CA",0.891516994211812,0.089087534114321,1.5934745274694,-0.0639911555683456,0.449666347688701,-0.128247007196176,0.851548052698205,-0.396493136917461,0.103148870271914
"CAALFM_C100030CA",1.45024953109994,1.29085750329981,2.18428850010886,2.08667361579196,1.17253941744642,0.915962801202599,1.39925055860592,0.857451506860682,0.22773359060747
"CTA2",2.14916150864341,1.73343602299304,4.08136249703934,2.26659040672862,3.51175808944962,1.17459648784306,2.75299546063555,1.15757171073276,0.0346779948419867
"TUP1",0.517343711236823,0.0817573267322716,1.01081591132931,0.16158074574398,0.466474627150028,-0.0503471698681262,0.930088970461268,-0.143757373463223,0.19582359470244
"MVD",-0.414836533926156,-0.22893927835398,0.009855278974579,-0.842775756430426,-0.000437577060439956,-0.242838389184688,-0.358548573204807,-0.888810377876126,0.113271381561746
"RCA1",-0.484204133937085,-0.63170844139119,-0.302196121632164,-0.12340968387854,-0.494631926061708,-0.85373617688414,-0.432189098941048,-0.707427786360483,-0.0362570494302079
"CAALFM_C100090WA",-0.0458797142253096,-0.444155446295072,-0.494773063919505,-0.437155736907289,-0.379273649866666,-0.477550099355007,-0.537457853129506,-0.962273830799216,-0.0741087520340778
"CAALFM_C100100CA",-0.467067905013532,-1.00486259386661,-0.339298987420048,-2.2536687136876,-0.451398466446881,-1.07552001501977,-0.563644104309631,-1.60258815298606,-0.587382434809771
"CCT8",-0.583032273585286,-0.650096338236537,-0.557029785830094,-1.61335174662511,-0.48460392296636,-0.891700132525636,-0.529157586631108,-0.939415033077736,-0.108435579906476
"TRP1",-0.510724403094722,-0.135947612425408,-0.134233100520989,-0.781958926214454,-0.37766178845606,-0.416505066565044,-0.731547191705807,-0.776694669979083,-0.136585929595687
"VPS53",0.28162861543153,0.521433174847216,0.908686552396944,0.496437592296508,0.48761239453731,0.358577743466101,1.14180343528795,1.40462351408725,0.0815213661468165
"KEL1",0.918462675374912,0.377345682167713,1.2247848440196,0.353285826969869,0.803182810622904,0.429671282276698,1.94080255459719,2.54323935442151,0.15717102966537
"RIM8",0.659785254453916,-0.912162316447606,-0.695673808005761,-0.900670653028002,-0.253139692749654,-1.26477215627503,-0.143969835493387,-1.31922882279953,-0.416218896139582
"CAALFM_C100160CA",-1.97383494832443,-1.26550832208278,-4.06255697971944,-3.05055234437552,-1.54956989113957,-1.30856541660915,-4.03075930662939,-1.17364678819868,-0.220268863800091
"LEU4",-0.774336074987449,1.84700634932345,-0.0679234029563619,0.467909575928097,-0.166617743347698,1.38074086822433,-3.81018604709518,-0.622168426049207,-1.84803901414657
"RPL16A",-0.456333341273562,-0.0965069321768785,-0.858184719097107,-0.943696025561207,-0.444454168254762,-0.122724285363528,-1.21330135683901,-0.235273482417741,0.237141492623895
"CAALFM_C100190CA",1.73277269565358,-2.39112780160692,-0.463879408762006,2.10410784933142,-1.24704643288002,-2.29036983650305,0.72177686614354,1.82334417988705,-1.56116389945246
"CAALFM_C100200CA",1.04078196792911,0.554929005536005,1.01001328736436,0.54507491068774,-0.156883725480814,0.415836264310584,0.847784698313961,1.62121228662837,1.02662562061025
"CAALFM_C100210CA",0.684578661226438,1.13486462158889,0.996240841860229,0.917690430759034,0.865492071188361,1.27253616353993,1.39132011020009,1.30606238779168,0.49010686305161
"PHR2",-2.00722330544572,-2.01988238069577,-4.15098008475321,-2.96530421559614,-3.40682483708942,-2.89130837052652,-4.48995358805311,-3.41311966926222,-0.357064736739325
