"","FL.log2FoldChange","FS.log2FoldChange","LL.log2FoldChange","LS.log2FoldChange","RL.log2FoldChange","RS.log2FoldChange","SL.log2FoldChange","SS.log2FoldChange","YS.log2FoldChange"
"CAALFM_C100020CA",0.487944024717639,-0.153140564258559,1.03812405381386,0.0254681151740144,0.786381909338965,-0.0643545770549944,0.570733718937957,-0.105612599728432,-0.0600222936071741
"CAALFM_C100030CA",1.1884295350631,0.504042569795699,1.77325320991923,0.217314759923193,0.466542551706214,0.164215936760934,1.1836574273865,0.309369134884229,0.0146191501530413
"CTA2",1.31234970626703,0.835870653533593,2.05766396662298,0.704883990983151,2.11613231809625,0.45241683840906,0.88408851806701,0.0965742354043771,-0.02264908277029
"TUP1",-0.102180290725657,-0.430507900851326,-0.202286722908987,-0.738840170648051,0.15493596045219,-0.486574386409097,-0.157537465331037,-0.607559730093275,-0.423608949544638
"MVD",-0.344296687860817,-0.577040490138535,-0.575220725463797,-0.494152251381292,0.0409943885972626,-0.368392639316847,-0.566376979081551,-0.767822109971131,-0.233882292316635
"RCA1",0.168205430072942,-0.114999157949006,-0.0990128581490684,-0.250726945624244,-0.0714815382500286,-0.271905134492776,-0.0732889239244614,-0.155626463567508,-0.0425604495549762
"CAALFM_C100090WA",-0.0725809900205216,-0.0114797024628957,-0.792387055487972,-0.149351939886581,-0.366900783581522,-0.110524761323637,-0.277018485555622,-0.431932753107672,-0.0164025434699429
"CAALFM_C100100CA",-0.367597708491689,-0.469712595054043,-0.666466009562575,-0.433783759973909,-0.281626153243994,-0.460216217513607,-0.414204498618804,-0.614772612499767,-0.120383557689014
"CCT8",-0.432691500951941,-0.598959211264909,-0.938773705543773,-0.583094789415483,-0.287072521343007,-0.445344942778706,-0.534992125765516,-0.705023374233133,-0.187328513884434
"TRP1",-0.0273586997296432,-0.097305284358733,-0.254504373604758,-0.0380991580245572,0.125676107080809,-0.0368191087925867,-0.094564009575122,-0.241504210120267,0.00389642177633233
"VPS53",0.233364035471831,0.092816709342833,0.815129054828912,0.187012788252788,0.329508109786805,0.112082263427988,0.269792521467876,0.0918251794627735,0.0279451242243565
"KEL1",0.109392352034818,-0.00136523213740349,1.14416552371534,0.0444857675355478,0.13606712720417,0.00157697396265188,0.128228074088436,0.00834375110043862,-0.0127696875251387
"RIM8",-0.0693553435532788,-0.643968826133387,0.0806639581657758,-0.739544830472795,-0.270145666903884,-1.01863678352595,-0.378775012573781,-0.848004785188861,-0.130833561383565
"CAALFM_C100160CA",-1.22976276039662,-0.337635195334881,-2.53675741820391,-0.293314153800166,-1.55082150945687,-0.220588442419499,-1.31438149659202,-0.49228449067529,0.0094666535308951
"LEU4",-0.265678882321311,1.38115068331208,-1.09786547417991,-0.174297543084414,-0.667256471580909,-0.490334757492519,-0.189360782754376,-0.488397740624365,-0.0619981419081255
"RPL16A",-0.73631671880698,-0.481998322138749,-1.39417168172195,-0.120304694794741,-0.536517611053854,-0.0987367150427451,-0.598781067500912,-0.290456910973121,0.0313922242505556
"CAALFM_C100190CA",0.447480501198703,0.14605668159444,2.08391991926006,-0.0763206899116679,-0.143523512829394,-0.119402172962998,0.470583644783752,0.15499742012821,-0.0174356512855671
"CAALFM_C100200CA",0.502597280327793,0.942645541993537,0.423665350683428,0.385048049252713,0.301756667717577,0.0338801692539884,0.825652486885154,0.701511977508521,-0.00877451765901988
"CAALFM_C100210CA",0.105070665318318,0.231235304064917,-0.0518285651301606,0.229765558233866,0.283534656122757,0.166101582740226,0.200128214697044,0.0779663548007909,0.0831154961383771
"PHR2",-1.4742965442407,-1.47903852330349,-3.29701450502963,-1.50628229202126,-3.36210843773846,-2.64113398973855,-2.72745713812382,-4.09976904327795,-0.0161621308864046
"BFA1",0.0943802769204402,-0.0890710720303766,0.281282541833489,-0.0902314190969471,0.202526039728071,-0.12386457481272,0.157227786216795,0.0592749099438508,-0.0525832643087138
"tT(AGU)6",-0.0401177295653987,-0.0595025757951348,-0.495299134874813,-0.0160977711622046,-0.196944650918693,-0.0700948191397502,-0.108454389511929,-0.133639531324781,-0.0223692674066534
"CAALFM_C100270WA",5.6395008354873,6.21103833704356,2.60038477554515,1.77015306661642,4.0342050118501,2.0815654182866,4.40357838714957,3.35898977046332,0.0356271167120559
"RFC52",NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL93",4.60355074744822,4.04397681236893,1.98880422093574,0.619558072642309,2.91276661612795,0.433458779072305,3.71224743178976,1.63737143952891,-0.0103105357169343
"CAALFM_C100310WA",1.32308530522186,0.804090734687548,2.03390112344773,0.337257863769323,1.48274367834746,0.304004327109373,1.44920024496037,0.903298800079255,-0.0070394397789203
"CAALFM_C100320WA",0.118064523548908,-0.194441053168469,0.413735905928127,-0.0824949247754455,0.364647493796448,0.0197522787346056,0.17321359104037,-0.0287998831390048,-0.0233336991103553
"CAALFM_C100330CA",-0.0683175141674585,-0.423281225983239,-0.228127084654918,-0.142063307866385,0.0190216405865271,-0.261280078248339,0.0152800653575507,-0.183619460939446,-0.0101074506912436
"HBR1",-0.373852912638031,-0.282728974111113,-0.936895606228204,-0.0952311045968891,-0.392187095666793,-0.0384353580875734,-0.363202279088975,-0.202514968262595,-0.00177467596809004
"HMX1",0.642153457481001,2.24243749677001,1.9231291222122,0.503172892449928,0.90498337353123,0.0426710542126552,0.807470956462043,0.278491926150387,-0.00104247123088083
"CDC13",0.360380424147365,-0.234013468976747,0.685298275039389,-0.255571253854873,0.524675186508102,-0.457489162312861,0.157911420117357,-0.459605755616527,-0.402310289107508
"CAALFM_C100370WA",-0.347545472006842,-0.0344856736381077,-0.376815256824099,-0.0542637270443403,-0.377557320610458,-0.058672003979064,-0.273089620898869,-0.117987136879257,0.0657404356865472
"CAALFM_C100380CA",-0.341248531654112,-0.070419473852084,-0.208545115289566,-0.0575829007817793,-0.242095355148566,0.103485627033913,-0.312621689656127,-0.182687741525981,0.0726332101757843
"ENA2",1.72191048717832,2.93717139056576,1.88791594240436,0.878477663530092,2.20007951926262,2.91014987407534,2.11774753556256,2.54302558086797,0.711271668128291
"SVF1",-0.237415471241746,0.0903049829738816,-0.29665286211216,0.0746953159822331,-0.463369470362482,0.00148669660670555,-0.385629021443694,-0.339277184940375,0.0124836139525691
"CAALFM_C100410CA",-0.100220171215458,-0.574969016526587,0.964238423850029,-0.3429779105052,-0.0752456757104464,-0.215662739163692,0.264562191786943,0.196090837987656,-0.0197267485942547
"CAALFM_C100420WA",0.310534957838361,-0.136644528963884,0.395574810639864,0.10042773259092,-0.0834821093692801,-0.124656289370716,0.268178830872823,0.102709912410568,-0.0239393516119093
"CAALFM_C100430WA",0.311430496074346,0.213826581735137,0.827866413918817,0.17848469369029,0.0228665405589838,-0.0995087358991089,0.159302362274321,0.214576021305658,0.0156236767240619
"UBP6",-0.213691102538272,-0.168668070277719,-0.136738612375403,0.106534523049952,-0.026731605066778,0.0464548895065884,-0.0464038144207431,-0.0544910804228369,0.0790912242774798
"CAALFM_C100450CA",-0.535762277628774,-0.415199052206345,-0.655391251059656,-0.175059163722581,-0.330505896617889,-0.137785520807876,-0.323439742515669,-0.137786172139519,-0.011061850220116
"CAALFM_C100460WA",-0.303553110734757,-0.644616824505295,-0.349586321794294,-0.203146093759312,-0.176155596075964,-0.210415891132147,-0.175604740649347,-0.190094268473534,0.0063771715418857
"CAALFM_C100470CA",-0.09686720098729,0.349795224198314,-0.174802083077426,0.15653468153951,0.0329024481615549,0.136592043072534,-0.192085627833443,0.129244355819079,0.00547623017676602
"GCN20",-0.344545975165653,-0.191888769037456,-0.797396614372227,0.0254563069407626,-0.250146340317979,0.0843913297278191,-0.343380026794356,-0.120715651949755,0.0879539835431136
"TTR1",0.0886624515718014,-0.423899262082225,0.207353048813885,-0.290625259858866,0.196304392118781,-0.310353987929343,-0.195005638264011,-0.780740728893804,-0.344247000888564
"GLO1",-0.108015540096825,-0.400951237403466,-0.196016372336002,0.0520620448425698,-0.210506515015661,-0.22399369413069,-0.24773578024961,-0.23338914469828,0.000993306444136592
"CAALFM_C100510WA",-0.616262834610591,-0.646876514732371,-1.03096763931482,-0.173609498403107,-0.405009986627191,-0.179786555848945,-0.613709057006488,-0.32607801978291,-0.00458654822497476
"CAALFM_C100520WA",-0.112298990690899,0.125884263225803,-0.133760771351677,-0.0737508126264637,0.10764264110461,0.0380074409648699,-0.214335610241909,-0.257278568699103,-0.00887220277770387
"CAALFM_C100530CA",0.329628573276422,0.0876622357176877,0.177010828378882,-0.172773882598006,0.421169773950092,-0.105211378701868,0.24185594547802,-0.105279433104088,-0.197113512204262
