"","condition_FS3_vs_ctl"
"CAALFM_C100020CA",-0.137358384934596
"CAALFM_C100030CA",0.525626089863237
"CTA2",0.9585166406339
"TUP1",-0.396844505427691
"MVD",-0.524255485247053
"RCA1",-0.0905004945043699
"CAALFM_C100090WA",0.00151071518106303
"CAALFM_C100100CA",-0.401731748234209
"CCT8",-0.499345738700204
"TRP1",-0.0834861840079547
"VPS53",0.108807109260528
"KEL1",0.00732239858206678
"RIM8",-0.583851960472832
"CAALFM_C100160CA",-0.279897758451399
"LEU4",1.34338195672111
"RPL16A",-0.458435627687522
"CAALFM_C100190CA",0.150468218663189
"CAALFM_C100200CA",0.974715726771205
"CAALFM_C100210CA",0.242263560652243
"PHR2",-1.52652561903914
"BFA1",-0.0752505784875897
"tT(AGU)6",-0.0651525195036868
"CAALFM_C100270WA",6.16415256105184
"RFC52",NA
"POL93",4.04863847801209
"CAALFM_C100310WA",0.804212152611154
"CAALFM_C100320WA",-0.177448589272579
"CAALFM_C100330CA",-0.42506171494619
"HBR1",-0.276424425189367
"HMX1",2.21240896829506
"CDC13",-0.167541372595789
"CAALFM_C100370WA",-0.0166955090587859
"CAALFM_C100380CA",-0.0544212750535112
"ENA2",2.95464604972862
"SVF1",0.103397129191742
"CAALFM_C100410CA",-0.54504387889421
"CAALFM_C100420WA",-0.0789160163861959
"CAALFM_C100430WA",0.207988254199289
"UBP6",-0.14275011464038
"CAALFM_C100450CA",-0.411281568218298
"CAALFM_C100460WA",-0.636939769338455
"CAALFM_C100470CA",0.346567816235108
"GCN20",-0.166116163594134
"TTR1",-0.366025272487768
"GLO1",-0.390498743456382
"CAALFM_C100510WA",-0.655678192326894
"CAALFM_C100520WA",0.138667304700955
"CAALFM_C100530CA",0.0926930928217835
"CAALFM_C100540CA",0.0134047336114176
"CIS2",0.281004947509753
"CNS1",0.194055116125111
"CAALFM_C100570CA",0.17116988033265
"CAALFM_C100580WA",0.0664525442289599
"TUF1",-1.65722736163666
"APC1",0.0255461197982568
"PSD1",0.156363843692621
"MOB2",0.284309689771578
"CAALFM_C100630WA",0.961935382490269
"RPO41",-0.158469421414432
"SNF7",0.0305753276763779
"CAALFM_C100660CA",-0.245686502440991
"UGA32",0.132969092734529
"ASM3",1.2076870615494
"RIC1",-0.204392838099617
"CAALFM_C100700WA",-1.26892061983411
"TUB2",0.211323928903888
"tP(UGG)3",-0.569080080501175
"CMP1",-0.285860909795365
"SPE1",-0.40354678774949
"VPS27",0.272955418196623
"CAALFM_C100760WA",0.287814522427239
"ROT1",0.0374411612592078
"HGC1",4.35216430549269
"CAALFM_C100790WA",-0.258380649871511
"ERG2",-0.849094688208437
"CAALFM_C100810WA",-0.959656389553682
"CAALFM_C100820WA",0.109834439168151
"CAALFM_C100830WA",1.0901359696941
"NRM1",-0.464108262381877
"IHD2",2.78735376753363
"CAALFM_C100860WA",0.53462044337051
"LRO1",0.469021834670439
"CAALFM_C100880WA",0.110567140863204
"CAALFM_C100890WA",-0.0563863632578016
"RRS1",0.372328891580451
"CAALFM_C100910WA",-0.599503718643149
"CAALFM_C100920WA",0.148199436763519
"SIN3",-0.108743775038459
"RPB11",-0.363688096071717
"CDC5",-0.283959069956749
"SET1",-0.112646675826838
"CAALFM_C100970WA",-0.0263602699167831
"CAALFM_C100980WA",-0.89668103772531
"NMA111",0.299915635775803
"CAALFM_C101000CA",-0.38831871002055
"CAALFM_C101010WA",-0.821509791966244
"tA(AGC)4",0.164969744179687
"HMT1",0.0505201757578034
"CAALFM_C101040WA",0.785738732294322
"CAALFM_C101050CA",-0.419638772716692
"MBF1",-0.702638574092606
"CAALFM_C101070CA",-0.135954972031339
"CAALFM_C101080WA",0.0914827927921997
"CAALFM_C101090CA",-0.641513525733389
"CCH1",0.820984291917033
"ZPR1",0.0894663609146484
"CAALFM_C101130WA",1.39163017865004
"CAALFM_C101140CA",0.374734010596838
"CAALFM_C101150CA",-0.0325442476571304
"CAALFM_C101160CA",0.299637811791742
"ZCF17",0.0172900898113767
"CAALFM_C101180CA",-0.304730785709275
"CAALFM_C101190CA",-0.34904363826071
"STB5",-0.678262746285582
"CAALFM_C101210WA",0.864056758441089
"CAALFM_C101220CA",2.76440129668146
"IFD3",0.358912225756506
"CAALFM_C101250WA",-1.15565214730092
"TRS20",-0.171499733120354
"CTA9",-0.541730206579632
"MED22",-0.0563716188744075
"CAALFM_C101290CA",0.679461771265085
"CAALFM_C101300WA",-0.412518177046789
"MRS7",-0.697247897487936
"DUT1",-0.729835379744134
"CAALFM_C101340CA",0.349844227707916
"TIF",-0.36042114330585
"CAALFM_C101360CA",1.7067689927451
"RPS21B",-0.419153515827898
"TRM2",0.484355392881049
"CAALFM_C101390CA",0.220710172142741
"CAALFM_C101400CA",0.480123014373064
"CRL1",0.547211332260597
"POX18",0.252480759162792
"ABC1",0.684502021687714
"CAALFM_C101460WA",0.488320940765336
"CAALFM_C101470WA",-0.0945522188741064
"RPS21",-0.637752230708117
"CAALFM_C101490WA",0.138409767998652
"CAALFM_C101510WA",0.647767865207826
"SOD2",-1.09275986493518
"CAALFM_C101530CA",-0.142958750814452
"CAALFM_C101540WA",0.0917789334725619
"VPS17",0.257516304357256
"SIZ1",0.195492860136009
"RPB7",-0.638654461976831
"CAALFM_C101580WA",-0.878480612775622
"CAALFM_C101590CA",-0.451588104341121
"MRP20",-1.07886716216973
"CAALFM_C101610CA",0.272153080437911
"CAALFM_C101620CA",-0.26132584399476
"CAALFM_C101630WA",-0.23081947139789
"RPS42",-1.00071737986584
"ISN1",0.342044522260666
"tS(UGA)1",0.0420497802581239
"ESP1",-0.373660181473831
"CAALFM_C101680CA",-1.041475923237
"LSC1",0.0324008674874773
"ARP8",0.0128028637596701
"CAALFM_C101710WA",1.78562799788382
"CAALFM_C101720CA",-1.12168192478414
"tA(AGC)3",0.0609963950245266
"CTN1",1.64875827478455
"CAALFM_C101750WA",0.124798322639729
"FGR38",0.206182197185396
"MAK32",0.276018564869054
"HOL4",0.847040974415721
"SWI4",0.00732316877874997
"CAALFM_C101800WA",-0.229153546452155
"UGA2",1.07602105880689
"CAALFM_C101820CA",0.0616232350261451
"UBC8",0.382204011342409
"CAALFM_C101840CA",0.784247574276278
"CAALFM_C101850CA",0.295096240681589
"CAALFM_C101860WA",-0.539102916118719
"CYS4",0.0999782549973675
"PTR3",0.786933164378293
"CAALFM_C101890CA",0.413682144015613
"CAALFM_C101900CA",0.0256143036016459
"CAALFM_C101910WA",-0.244454504838328
"ROA1",0.121383056593718
"CAALFM_C101930WA",3.84584163474808
"CAALFM_C101940CA",-0.32304012211087
"CAALFM_C101950CA",-0.0235350908430194
"CAALFM_C101970WA",-0.0980242376083061
"HGT1",4.07194378848603
"HSP30",-0.102213871267789
"CAALFM_C102000WA",-0.108046733811515
"ZCF24",-0.335735222362068
"CAALFM_C102020WA",0.207638891571451
"CAALFM_C102030CA",-0.107008707231906
"CAALFM_C102040CA",-1.19805551469419
"PHO91",1.12478653313245
"CAALFM_C102060WA",-0.23890052904155
"HSP31",-0.26872424784768
"SET6",0.528343458845257
"CAALFM_C102090CA",0.364913314990429
"CAALFM_C102100WA",0.183917290276336
"HGT2",0.189207920147229
"SHA3",3.18548427551047
"GAL1",0.12968991547654
"GAL10",0.820760259120853
"CAALFM_C102160WA",0.0512849564023908
"GAL102",0.280502311359199
"GAL7",-0.0690107592263581
"ABP140",0.300746985031768
"CAALFM_C102200CA",0.626620975927686
"CAALFM_C102210WA",0.479114407146077
"CAALFM_C102220CA",0.84895791049213
"SEP7",-0.132377934340742
"CAALFM_C102240WA",0.00171394784209048
"CWH8",0.630354113327979
"AGE3",-0.796022469463136
"CAALFM_C102270CA",-0.161717298798983
"PSY2",-0.101660615334174
"CAALFM_C102290CA",-0.761941325100208
"CAALFM_C102300WA",-0.696455749692597
"CAALFM_C102310CA",-0.115259726134751
"CAALFM_C102320CA",-0.285338764942821
"CAALFM_C102330CA",-0.713929380402529
"tR(CCG)1",2.55922077518428
"TIM21",-1.07651827933031
"PGA5",-1.27823169036729
"CAALFM_C102370CA",-0.128815841276617
"CAALFM_C102380CA",-0.0994308172066962
"CAALFM_C102390WA",0.20819256194057
"MNN11",-0.517940387101275
"CAALFM_C102410CA",-0.689896436049841
"GSC1",0.290741530607208
"CAALFM_C102430CA",-0.45636042574577
"CAALFM_C102440CA",-0.53062212590707
"CAALFM_C102450CA",-0.048534496072933
"RPL10",-0.587661085565945
"CAALFM_C102470WA",0.230569885739535
"PMM1",-0.482802193167398
"CAALFM_C102490CA",-1.36473153441982
"CAALFM_C102500WA",-0.71581812742073
"CAALFM_C102510WA",-0.257745600159563
"SCW4",0.324714176691179
"DIP5",0.352291449382782
"tR(UCU)4",0.59860168869154
"PUT4",1.81192773853257
"HNM4",3.06184014037056
"SNZ1",0.423222233152432
"SNO1",0.141841837025295
"IML1",0.257395202764033
"HOM6",0.0184483491320454
"EXG2",0.613311872504475
"TOM20",-0.713400120483128
"CAALFM_C102650WA",-1.17269991198979
"MGM101",-0.488099533545223
"CAALFM_C102670CA",1.43872895525547
"CAALFM_C102680CA",0.723599071096768
"CAALFM_C102690CA",0.491984473277978
"CAALFM_C102700CA",1.23222048985193
"FRS2",-0.176275419428251
"CAALFM_C102720WA",-0.213937343337012
"CAALFM_C102730WA",0.411917055532414
"CAALFM_C102740CA",0.164276635381264
"CAALFM_C102750CA",-0.395289293455261
"CAALFM_C102760WA",-0.292959332081995
"CAALFM_C102770WA",0.272378860471733
"CAALFM_C102780WA",0.578727975403625
"TIF34",-0.188697348847421
"CAALFM_C102800WA",0.563348069738827
"RAD16",0.689650165937573
"LYS2",0.233417291283736
"CAALFM_C102830WA",-0.445212156680181
"PDE2",1.1173360973771
"CAALFM_C102850WA",0.263164711922554
"YKT6",-0.0789470673374968
"YPT7",0.140450458654875
"MIA40",-1.3666577574397
"CAALFM_C102890CA",-0.0198177525747621
"CAALFM_C102900CA",0.464075034371438
"CAALFM_C102910CA",0.490878047743506
"CDC73",-0.595426031996429
"MST1",-0.946571445843653
"CAALFM_C102940CA",-0.0636030521530326
"CAALFM_C102950WA",0.249357335131884
"CAALFM_C102960CA",0.197090567672679
