"","condition_RL30_vs_ctl"
"CAALFM_C100020CA",1.14265747318939
"CAALFM_C100030CA",0.611167285396935
"CTA2",0.853206579797539
"TUP1",-0.264099594948818
"MVD",-0.980626684545946
"RCA1",-0.16098467419246
"CAALFM_C100090WA",-0.410847589611027
"CAALFM_C100100CA",-0.292671777731136
"CCT8",-0.397649340119438
"TRP1",0.035542568471694
"VPS53",0.175370426321923
"KEL1",0.171423623204281
"RIM8",0.264637323672383
"CAALFM_C100160CA",-0.063762190915417
"LEU4",0.239446202235375
"RPL16A",-0.317362032330322
"CAALFM_C100190CA",0.354920978481556
"CAALFM_C100200CA",-0.128372759188143
"CAALFM_C100210CA",0.486245211096764
"PHR2",-2.172663441752
"BFA1",0.725930758673931
"tT(AGU)6",-0.488443347581245
"CAALFM_C100270WA",4.36491981848557
"RFC52",NA
"POL93",3.09706551257115
"CAALFM_C100310WA",0.00604940413338171
"CAALFM_C100320WA",-0.056365537785812
"CAALFM_C100330CA",-0.0712008604153748
"HBR1",-0.410709205169403
"HMX1",-0.676800184460009
"CDC13",0.885510133814322
"CAALFM_C100370WA",-0.155101913708036
"CAALFM_C100380CA",-0.266173398467102
"ENA2",3.570368373788
"SVF1",0.0414411070663669
"CAALFM_C100410CA",-1.89736460346932
"CAALFM_C100420WA",-0.635646426432722
"CAALFM_C100430WA",-0.0791299907015843
"UBP6",-0.0930575056393914
"CAALFM_C100450CA",-0.765698517608364
"CAALFM_C100460WA",-0.498234229286787
"CAALFM_C100470CA",-0.0242611678356362
"GCN20",0.249913498343729
"TTR1",0.298037558287449
"GLO1",-1.75259838141685
"CAALFM_C100510WA",-0.481700686338501
"CAALFM_C100520WA",0.310862879642838
"CAALFM_C100530CA",0.333950095149363
"CAALFM_C100540CA",0.121228381481489
"CIS2",0.491102871388173
"CNS1",-0.207520159546305
"CAALFM_C100570CA",0.218361514966944
"CAALFM_C100580WA",-0.145887520055411
"TUF1",-1.12675360870875
"APC1",0.308369278523276
"PSD1",-0.0388752187573686
"MOB2",0.761332154372479
"CAALFM_C100630WA",0.967988884090236
"RPO41",-0.245974314976187
"SNF7",0.295998377008733
"CAALFM_C100660CA",0.371503799085434
"UGA32",-0.0253760560117191
"ASM3",1.02554514438641
"RIC1",-0.169709024341929
"CAALFM_C100700WA",-0.3367199797744
"TUB2",0.281576276277938
"tP(UGG)3",-1.19554990466818
"CMP1",0.311133016581184
"SPE1",0.148882208169454
"VPS27",-0.132696771507106
"CAALFM_C100760WA",0.0717347560796452
"ROT1",0.658003907238222
"HGC1",6.08095372792307
"CAALFM_C100790WA",0.207870858549431
"ERG2",-0.483316021391251
"CAALFM_C100810WA",0.00960487450511333
"CAALFM_C100820WA",0.497115534189827
"CAALFM_C100830WA",0.421565595548278
"NRM1",-0.240721147322596
"IHD2",2.0391969879388
"CAALFM_C100860WA",0.151431591654086
"LRO1",0.745494453604597
"CAALFM_C100880WA",0.596778814276004
"CAALFM_C100890WA",-0.237283321549104
"RRS1",0.209944137275328
"CAALFM_C100910WA",-0.85777851324096
"CAALFM_C100920WA",0.733421207232319
"SIN3",0.190009299071672
"RPB11",-0.293874985920181
"CDC5",-0.355583275180026
"SET1",0.235656713984363
"CAALFM_C100970WA",-0.773143935645178
"CAALFM_C100980WA",-0.79102180505698
"NMA111",0.227766063438285
"CAALFM_C101000CA",-0.177077107455592
