"","condition_RS3_vs_ctl"
"CAALFM_C100020CA",-0.0547928494437423
"CAALFM_C100030CA",0.165205758673435
"CTA2",0.662027316588288
"TUP1",-0.413850698616932
"MVD",-0.284052606993731
"RCA1",-0.186233898869112
"CAALFM_C100090WA",-0.0666139906322923
"CAALFM_C100100CA",-0.336151167406298
"CCT8",-0.277460176391545
"TRP1",-0.0352106355561795
"VPS53",0.114570110263577
"KEL1",0.00546601606347684
"RIM8",-0.929784367317355
"CAALFM_C100160CA",-0.147495116306601
"LEU4",-0.374807031158787
"RPL16A",-0.0850424089392536
"CAALFM_C100190CA",-0.118759530650977
"CAALFM_C100200CA",0.0361457138090898
"CAALFM_C100210CA",0.168643643544959
"PHR2",-2.66786894906285
"BFA1",-0.110954240485201
"tT(AGU)6",-0.0770898840081405
"CAALFM_C100270WA",1.96464602280648
"RFC52",NA
"POL93",0.415068304583486
"CAALFM_C100310WA",0.283193209330671
"CAALFM_C100320WA",0.0339973237205294
"CAALFM_C100330CA",-0.275876259695761
"HBR1",-0.0423430280130787
"HMX1",0.034908674572904
"CDC13",-0.232896896199681
"CAALFM_C100370WA",-0.0355716006519215
"CAALFM_C100380CA",0.0990108932657535
"ENA2",2.92656953639334
"SVF1",0.00928484077468208
"CAALFM_C100410CA",-0.185846482452447
"CAALFM_C100420WA",-0.0524154204219989
"CAALFM_C100430WA",-0.0732326775908932
"UBP6",0.0472432780446519
"CAALFM_C100450CA",-0.126583991671382
"CAALFM_C100460WA",-0.196362852601427
"CAALFM_C100470CA",0.121705723362769
"GCN20",0.0755594157591131
"TTR1",-0.216714192574351
"GLO1",-0.199782803122756
"CAALFM_C100510WA",-0.202464621990558
"CAALFM_C100520WA",0.0391832468065864
"CAALFM_C100530CA",-0.0925717402011961
"CAALFM_C100540CA",-0.108285727448554
"CIS2",-0.23812890266161
"CNS1",0.0454672716941216
"CAALFM_C100570CA",0.0997528718195466
"CAALFM_C100580WA",-0.365917842438916
"TUF1",-1.10525959525039
"APC1",0.0879656023089363
"PSD1",-0.0934722134702104
"MOB2",-0.151398086581296
"CAALFM_C100630WA",0.593387130762297
"RPO41",-0.06969973087466
"SNF7",-0.177958185737398
"CAALFM_C100660CA",-0.342559602197749
"UGA32",0.120512058070884
"ASM3",1.13753944028986
"RIC1",0.0441020758418494
"CAALFM_C100700WA",-0.493387131322264
"TUB2",0.0984030462654565
"tP(UGG)3",-0.157230169104734
"CMP1",-0.187440649130092
"SPE1",-0.0534163773596527
"VPS27",0.0690254696361825
"CAALFM_C100760WA",0.0687186200151302
"ROT1",0.0958247679706558
"HGC1",3.19266482206326
"CAALFM_C100790WA",-0.129473578279174
"ERG2",-0.447721765100548
"CAALFM_C100810WA",-0.324299462235684
"CAALFM_C100820WA",0.13693420236849
"CAALFM_C100830WA",0.510917252639208
"NRM1",-0.140581352436895
"IHD2",1.88480260406855
"CAALFM_C100860WA",-0.0696611712714213
"LRO1",0.344699030621946
"CAALFM_C100880WA",1.51684476569368
"CAALFM_C100890WA",0.101491185897656
"RRS1",0.0884254091880254
"CAALFM_C100910WA",-0.726694727797369
"CAALFM_C100920WA",0.132322597336167
"SIN3",-0.0320865301082531
"RPB11",-0.280769321714775
"CDC5",-0.239033594124301
"SET1",0.0479032505415813
"CAALFM_C100970WA",0.011969161572806
"CAALFM_C100980WA",-0.611058472268082
"NMA111",0.105353125213581
"CAALFM_C101000CA",-0.37997564019617
"CAALFM_C101010WA",-0.275534268854514
"tA(AGC)4",0.0188849460787419
"HMT1",-0.0622928102138698
"CAALFM_C101040WA",0.21455763485828
"CAALFM_C101050CA",-0.244436501197059
"MBF1",-0.243194580841833
"CAALFM_C101070CA",-0.0540643705345438
"CAALFM_C101080WA",0.0605029001748146
"CAALFM_C101090CA",-0.216277793914025
"CCH1",0.416151374321684
"ZPR1",0.0533768426620521
"CAALFM_C101130WA",0.00941304723907493
"CAALFM_C101140CA",0.00973237080497735
"CAALFM_C101150CA",0.0566427861464008
"CAALFM_C101160CA",0.0725514258552679
"ZCF17",0.0244806389198136
"CAALFM_C101180CA",-0.20079940540024
"CAALFM_C101190CA",-0.136208773291425
"STB5",-0.403326126201252
"CAALFM_C101210WA",0.285269137574645
"CAALFM_C101220CA",0.339790035881798
"IFD3",0.138330351544144
"CAALFM_C101250WA",-0.512954969549186
"TRS20",-0.0357292060020939
"CTA9",-0.22560511442579
"MED22",0.0131481741034742
"CAALFM_C101290CA",0.135520968572734
"CAALFM_C101300WA",-0.275053757354885
"MRS7",-0.227736653701643
"DUT1",-0.568445560025576
"CAALFM_C101340CA",0.143042690913638
"TIF",-0.137823234878443
"CAALFM_C101360CA",0.0543841515527917
"RPS21B",-0.0768332761631244
"TRM2",0.127633076808222
"CAALFM_C101390CA",-0.124638216957298
"CAALFM_C101400CA",-0.0498342570555238
"CRL1",0.650074416179028
"POX18",-0.0550274874443946
"ABC1",0.263263364461661
"CAALFM_C101460WA",0.22596573527918
"CAALFM_C101470WA",-0.132462196926378
"RPS21",-0.186591438907656
"CAALFM_C101490WA",0.180716265315951
"CAALFM_C101510WA",0.227642630176827
"SOD2",-0.357836733776963
"CAALFM_C101530CA",0.0397117696302484
"CAALFM_C101540WA",0.0653604849560402
"VPS17",0.197699883930423
"SIZ1",0.0558500120409394
"RPB7",-0.614314390666322
"CAALFM_C101580WA",-0.317137643869953
"CAALFM_C101590CA",-0.14448346339613
"MRP20",-0.503122584308829
"CAALFM_C101610CA",-0.0460558767517038
"CAALFM_C101620CA",-0.288594601869082
"CAALFM_C101630WA",-0.334955917220772
"RPS42",-0.127419842235367
"ISN1",0.0820330431660295
"tS(UGA)1",0.0123639033495483
"ESP1",-0.00341487519908351
"CAALFM_C101680CA",-0.633383258587929
"LSC1",0.0840808939133511
"ARP8",0.124006717279527
"CAALFM_C101710WA",1.06454644171733
"CAALFM_C101720CA",-1.3134583761436
"tA(AGC)3",-0.000995910371416874
"CTN1",0.176712725624457
"CAALFM_C101750WA",0.0832702178968603
"FGR38",0.261623497107202
"MAK32",0.19767282909023
"HOL4",1.20289106440707
"SWI4",-0.0494335540581603
"CAALFM_C101800WA",-0.115595007589956
"UGA2",1.14099260252389
"CAALFM_C101820CA",0.196125825817353
"UBC8",-0.0176806093909724
"CAALFM_C101840CA",0.34140174097562
"CAALFM_C101850CA",0.0479835014224755
"CAALFM_C101860WA",-0.0990188305696886
"CYS4",-0.0538589051197658
"PTR3",0.41577587107274
"CAALFM_C101890CA",-0.102346055152604
"CAALFM_C101900CA",0.049852282728012
"CAALFM_C101910WA",-0.0641138453239101
"ROA1",-0.92849351571396
"CAALFM_C101930WA",0.577780752674157
"CAALFM_C101940CA",-0.2020353260196
"CAALFM_C101950CA",-0.120909840956203
"CAALFM_C101970WA",-0.0820398342269092
"HGT1",3.39065125243416
"HSP30",-0.0657504295998026
"CAALFM_C102000WA",-0.405673031819046
"ZCF24",-0.194994826691571
"CAALFM_C102020WA",0.354732101157726
"CAALFM_C102030CA",-0.141424549556898
"CAALFM_C102040CA",0.0525045136321734
"PHO91",0.981583916824733
"CAALFM_C102060WA",-0.0244623152281615
"HSP31",-0.10118283293213
"SET6",0.166107815126342
"CAALFM_C102090CA",0.238569000920379
"CAALFM_C102100WA",0.0918574174498672
"HGT2",-0.0443831607467475
"SHA3",2.6084506210684
"GAL1",0.0119663052242807
"GAL10",0.0130852465761443
"CAALFM_C102160WA",0.230044795720217
"GAL102",-0.10112893385295
"GAL7",-0.0751334170249926
"ABP140",0.0898462926673417
"CAALFM_C102200CA",0.196329390701839
"CAALFM_C102210WA",0.338825739076231
"CAALFM_C102220CA",0.0335503852080679
"SEP7",-0.0379828774250187
"CAALFM_C102240WA",0.00406903121067474
"CWH8",0.173268170083729
"AGE3",-0.575104811891627
"CAALFM_C102270CA",-0.015967945214811
"PSY2",0.126642261821749
"CAALFM_C102290CA",-0.39511557096534
"CAALFM_C102300WA",-0.241389495113801
"CAALFM_C102310CA",0.0577357113823894
"CAALFM_C102320CA",-0.110534517976847
"CAALFM_C102330CA",-0.36836491539956
"tR(CCG)1",0.197510758342342
"TIM21",-0.575990536955782
"PGA5",-0.689667728264149
"CAALFM_C102370CA",-0.0689906161797811
"CAALFM_C102380CA",-0.200702844017022
"CAALFM_C102390WA",0.263916222191844
"MNN11",-0.498566788880337
"CAALFM_C102410CA",-0.614569703592117
"GSC1",0.0485313808846899
"CAALFM_C102430CA",-0.202096818337215
"CAALFM_C102440CA",-0.19321157383738
"CAALFM_C102450CA",-0.203184600623788
"RPL10",-0.153257304400778
"CAALFM_C102470WA",0.00715788068142163
"PMM1",-0.112657199432545
"CAALFM_C102490CA",-0.457140563522762
"CAALFM_C102500WA",-0.479959594184575
"CAALFM_C102510WA",-0.0955179628033507
"SCW4",0.0554892115810203
"DIP5",-0.132602371416198
"tR(UCU)4",0.0193814740617524
"PUT4",0.0858788670334303
"HNM4",0.734870198571047
"SNZ1",0.943735906460291
"SNO1",0.338498104134489
"IML1",0.177382305494932
"HOM6",-0.249396042840646
"EXG2",1.50972962894156
"TOM20",-0.239146270749071
"CAALFM_C102650WA",-0.393652994371993
"MGM101",-0.255503751832291
"CAALFM_C102670CA",1.05916720803974
"CAALFM_C102680CA",0.763002039525528
"CAALFM_C102690CA",0.0566439620467666
"CAALFM_C102700CA",2.34227422536328
"FRS2",0.0468345219982224
"CAALFM_C102720WA",0.00494030806161498
"CAALFM_C102730WA",0.888534398324036
"CAALFM_C102740CA",-0.0056781743764674
"CAALFM_C102750CA",-0.316178596589788
"CAALFM_C102760WA",-0.0598839890323423
"CAALFM_C102770WA",0.231423577642424
"CAALFM_C102780WA",0.232760509776204
"TIF34",-0.0482996037548863
"CAALFM_C102800WA",0.198250417914865
"RAD16",0.575512881484739
"LYS2",-0.0517875933655404
"CAALFM_C102830WA",0.00494116593861812
"PDE2",0.524641652369507
"CAALFM_C102850WA",-0.0109992516172315
"YKT6",0.0170713364316204
"YPT7",0.133963475832439
"MIA40",-0.791008078202714
"CAALFM_C102890CA",-0.28650359447613
"CAALFM_C102900CA",0.395574237476519
"CAALFM_C102910CA",0.303732025458774
"CDC73",-0.457843891639302
"MST1",-0.314803793060419
"CAALFM_C102940CA",-0.152956501608214
"CAALFM_C102950WA",0.188835264448377
"CAALFM_C102960CA",-0.109178304050119
"CAALFM_C102970WA",-0.145702129309001
"GOR1",-0.439272235239773
"XOG1",1.96710835051137
"HOL1",0.502798284955107
"RPP1A",-0.267381425855199
"RPL13",-0.25641707081839
"RPS16A",-0.129163222080548
"CAALFM_C103040WA",0.202575217639466
"CAALFM_C103050WA",0.136542414637606
"TSR2",0.0880403505667269
"ORC1",-0.132639303772115
"TEM1",-0.278755211592448
"RPS1",-0.113587118108172
"CAALFM_C103100WA",0.288567245460479
"RPL6",-0.057398876587623
"CAALFM_C103120WA",0.0346312937051531
"GGA2",0.0414223830255573
"CAALFM_C103140WA",0.138419077331763
"CAALFM_C103150CA",0.197234068737637
"COQ4",-0.460436247441181
"CAALFM_C103170CA",0.0699340657108396
"CAALFM_C103180WA",0.0444984254748894
"ECM33",-0.0951719814290337
"ARO80",-0.0156907084042097
"CDC12",-0.0116061978811215
"BMH1",-0.187332967099358
"ARX1",0.153366529762475
"CAALFM_C103240WA",0.0368175031207302
"SPP1",0.246766355886113
"CAALFM_C103260WA",0.275665214373199
"CAALFM_C103270WA",0.140684495199823
"CAALFM_C103280WA",-0.50011583164433
"NGG1",-0.0200971332315366
"MAS1",-0.458288254955407
"CAALFM_C103310WA",-0.47466673173774
"EHD3",-0.0147758567760934
"CAALFM_C103330CA",0.283736932200116
"SEC62",-0.213084294606767
"RLI1",0.0542995201670025
"CAALFM_C103360WA",-0.191499131953332
"CAALFM_C103370WA",-0.24782897278257
"TPS2",0.110252341114438
"EHT1",-0.165745935980868
"CAALFM_C103400WA",0.23843267841481
"CAALFM_C103410WA",-0.14268102223782
"tN(GUU)3",-0.0347480048401514
"CAALFM_C103430WA",-0.0538639352194075
"CAALFM_C103440CA",0.0107288400613661
"CAALFM_C103450CA",0.14986306368117
"CAALFM_C103460CA",-1.11249602222882
"CAALFM_C103470CA",0.185425447790743
"AGE1",0.127641850398701
"CAALFM_C103490WA",-0.160374480502047
"YPT1",0.153488203066473
"CAALFM_C103510CA",-0.0984937992083708
"RPN3",-0.0676946126664607
"MED17",-0.13466862110753
