"","condition_SL3_vs_ctl"
"CAALFM_C100020CA",0.566541345004956
"CAALFM_C100030CA",1.20318153415141
"CTA2",1.03771002387773
"TUP1",-0.119786137122804
"MVD",-0.488540630428519
"RCA1",-0.0391627658238366
"CAALFM_C100090WA",-0.192338958458376
"CAALFM_C100100CA",-0.31606389726299
"CCT8",-0.399961706611028
"TRP1",-0.078942541463502
"VPS53",0.286670696337821
"KEL1",0.148964566526174
"RIM8",-0.313539829890778
"CAALFM_C100160CA",-1.17640265769291
"LEU4",-0.157121026642493
"RPL16A",-0.553343378433432
"CAALFM_C100190CA",0.486360369013353
"CAALFM_C100200CA",0.866015177631854
"CAALFM_C100210CA",0.217450638368844
"PHR2",-2.74753625201292
"BFA1",0.169982424302658
"tT(AGU)6",-0.124077706869776
"CAALFM_C100270WA",4.35086989160301
"RFC52",NA
"POL93",3.71375754794544
"CAALFM_C100310WA",1.45464719498608
"CAALFM_C100320WA",0.207241756425368
"CAALFM_C100330CA",0.0320944888385581
"HBR1",-0.356329817360405
"HMX1",0.744315510535295
"CDC13",0.116897876351377
"CAALFM_C100370WA",-0.20135174628304
"CAALFM_C100380CA",-0.27008574380618
"ENA2",2.1449523294521
"SVF1",-0.360806337718126
"CAALFM_C100410CA",0.268291451565576
"CAALFM_C100420WA",0.167628693023396
"CAALFM_C100430WA",0.160284690177049
"UBP6",-0.0296633270272731
"CAALFM_C100450CA",-0.307553432859397
"CAALFM_C100460WA",-0.169348026568362
"CAALFM_C100470CA",-0.155992923560682
"GCN20",-0.289726379400813
"TTR1",-0.146104468496666
"GLO1",-0.22068903117086
"CAALFM_C100510WA",-0.637853897379905
"CAALFM_C100520WA",-0.200010924124273
"CAALFM_C100530CA",0.242611183742047
"CAALFM_C100540CA",-0.0516230169602158
"CIS2",0.380957377982202
"CNS1",-0.314673818881331
"CAALFM_C100570CA",0.218993519628726
"CAALFM_C100580WA",0.563088809693613
"TUF1",-0.81515829080492
"APC1",0.450133425744213
"PSD1",0.246427693357305
"MOB2",0.229019264127432
"CAALFM_C100630WA",0.85216148552852
"RPO41",-0.35647437450206
"SNF7",0.0333212195438796
"CAALFM_C100660CA",0.0409508275703199
"UGA32",0.904293829183357
"ASM3",1.19038506369735
"RIC1",0.186804172939326
"CAALFM_C100700WA",-0.386155574333252
"TUB2",0.271606798502429
"tP(UGG)3",-0.0444797055331917
"CMP1",-0.0180721531031567
"SPE1",-0.295312791857451
"VPS27",0.311041383052595
"CAALFM_C100760WA",0.208150923250754
"ROT1",-0.368809939408128
"HGC1",4.16010968803246
"CAALFM_C100790WA",0.26545667001341
"ERG2",-0.461367450359371
"CAALFM_C100810WA",-0.358354611687903
"CAALFM_C100820WA",0.270368047247365
"CAALFM_C100830WA",0.679316947897612
"NRM1",-0.0111763809976032
"IHD2",2.7520258254814
"CAALFM_C100860WA",0.500680632491652
"LRO1",0.573423349841238
"CAALFM_C100880WA",0.258101500534932
"CAALFM_C100890WA",0.265145255521549
"RRS1",-0.301807798896432
"CAALFM_C100910WA",-0.161984057692361
"CAALFM_C100920WA",0.324276104580354
"SIN3",-0.0233181146258242
"RPB11",-0.422051144108346
"CDC5",0.132399442437784
"SET1",0.11801208976724
"CAALFM_C100970WA",0.0343405534325411
"CAALFM_C100980WA",-0.458626696377388
"NMA111",-0.238055188224821
"CAALFM_C101000CA",-0.258716724269619
"CAALFM_C101010WA",-0.19819134188642
"tA(AGC)4",0.0391641943041325
"HMT1",-0.510935721408142
"CAALFM_C101040WA",0.724387719608573
"CAALFM_C101050CA",-0.270362915521908
"MBF1",-0.359887495406111
"CAALFM_C101070CA",0.0376498003545618
"CAALFM_C101080WA",0.356498745640472
"CAALFM_C101090CA",-0.428958142010343
"CCH1",0.443041161545958
"ZPR1",-0.588613936476825
"CAALFM_C101130WA",0.296254478328512
"CAALFM_C101140CA",0.192158130658234
"CAALFM_C101150CA",-0.521132369185161
"CAALFM_C101160CA",-0.234237441102674
"ZCF17",-0.384649545028325
"CAALFM_C101180CA",0.161111903127126
"CAALFM_C101190CA",0.118224372822025
"STB5",0.0679186987455913
"CAALFM_C101210WA",-0.370008240338058
"CAALFM_C101220CA",2.63739745355915
"IFD3",1.08857324752314
"CAALFM_C101250WA",-0.524830949185815
"TRS20",0.097024465147405
"CTA9",0.119773548790234
"MED22",-0.0539581107703233
"CAALFM_C101290CA",0.621365896323482
"CAALFM_C101300WA",-0.18048212134968
"MRS7",-0.353672230385879
"DUT1",-0.205923426477439
"CAALFM_C101340CA",1.09993731609109
"TIF",-0.576615843527209
"CAALFM_C101360CA",0.538596923171588
"RPS21B",-0.469887921647808
"TRM2",-0.27766631451099
"CAALFM_C101390CA",0.146163867778902
"CAALFM_C101400CA",0.188008453805063
"CRL1",-0.242526829058323
"POX18",0.206420053802057
"ABC1",0.105194157318518
"CAALFM_C101460WA",0.220112551866182
"CAALFM_C101470WA",-0.391306997282466
"RPS21",-0.628100974382434
"CAALFM_C101490WA",0.318306265616672
"CAALFM_C101510WA",0.237140713445275
"SOD2",-0.367907175532812
"CAALFM_C101530CA",-0.577977796289671
"CAALFM_C101540WA",0.162010600711787
"VPS17",0.307392436946732
"SIZ1",0.161405756503634
"RPB7",-0.408066858132616
"CAALFM_C101580WA",-0.569795692155411
"CAALFM_C101590CA",-0.210806636950041
"MRP20",-0.903414788475388
"CAALFM_C101610CA",0.2500754551725
"CAALFM_C101620CA",-0.425868477180729
"CAALFM_C101630WA",-0.190870433336858
"RPS42",-0.487682158781304
"ISN1",0.409258032372841
"tS(UGA)1",-0.00912986221870838
"ESP1",0.0801512342260561
"CAALFM_C101680CA",-0.608993040741408
"LSC1",-0.408261984619829
"ARP8",-0.0996199716800975
"CAALFM_C101710WA",0.623823287526894
"CAALFM_C101720CA",-0.635963415480695
"tA(AGC)3",-0.0020661176197132
"CTN1",4.28934176741712
"CAALFM_C101750WA",-0.815156457689992
"FGR38",0.801491487689575
"MAK32",0.21975142512771
"HOL4",0.715697983431598
"SWI4",-0.0652236503446135
"CAALFM_C101800WA",-0.136376579308208
"UGA2",1.43617692707818
"CAALFM_C101820CA",-0.177921641583162
"UBC8",0.187975394137484
"CAALFM_C101840CA",2.51572054350487
"CAALFM_C101850CA",-0.130582333747136
"CAALFM_C101860WA",-0.315260459391752
"CYS4",-0.132046241300354
"PTR3",0.458644864894124
"CAALFM_C101890CA",0.417612538371309
"CAALFM_C101900CA",-0.0404881353564945
"CAALFM_C101910WA",-0.418251055743565
"ROA1",0.696918620757481
"CAALFM_C101930WA",1.92050945909142
"CAALFM_C101940CA",-0.175358749756133
"CAALFM_C101950CA",-0.206678295331281
"CAALFM_C101970WA",-0.0181983670232786
"HGT1",4.92183139425446
"HSP30",0.306853129290895
"CAALFM_C102000WA",0.195908429061625
"ZCF24",0.336385622877968
"CAALFM_C102020WA",0.392573214733792
"CAALFM_C102030CA",-0.0965470424043845
"CAALFM_C102040CA",0.0599395418756887
"PHO91",0.597595086835536
"CAALFM_C102060WA",0.472390217272173
"HSP31",0.168966795808791
"SET6",-0.346540850535847
"CAALFM_C102090CA",-0.294252098172847
"CAALFM_C102100WA",0.65181178811443
"HGT2",1.82049687633985
"SHA3",1.59423860173493
"GAL1",1.52266857882206
"GAL10",2.96244122157608
"CAALFM_C102160WA",0.425613566834243
"GAL102",0.855825887312273
"GAL7",0.370636891205448
"ABP140",-0.246508398191484
"CAALFM_C102200CA",0.5394653837785
"CAALFM_C102210WA",0.627357455004332
"CAALFM_C102220CA",0.60210791879843
"SEP7",0.0433385663281891
"CAALFM_C102240WA",-0.0392832796098568
"CWH8",1.18511058578184
"AGE3",-0.271527169297706
"CAALFM_C102270CA",4.06280226811476
"PSY2",0.135623189063567
"CAALFM_C102290CA",-0.414838468063498
"CAALFM_C102300WA",-0.29281844976289
"CAALFM_C102310CA",0.0258834016938665
"CAALFM_C102320CA",0.254900846513708
"CAALFM_C102330CA",-0.971338258272941
"tR(CCG)1",0.461935680579817
"TIM21",-0.820968487848275
