"","condition_SS30_vs_ctl"
"CAALFM_C100020CA",0.2538903897923
"CAALFM_C100030CA",0.355711216624448
"CTA2",-1.12839613903984
"TUP1",-0.933227152889039
"MVD",-1.96287117411072
"RCA1",-0.333401543259665
"CAALFM_C100090WA",-1.02605995203524
"CAALFM_C100100CA",-1.42814730211738
"CCT8",-0.847531951323643
"TRP1",-0.339065073192267
"VPS53",1.077779191537
"KEL1",1.85549986149792
"RIM8",-0.7298945852304
"CAALFM_C100160CA",0.261946274105337
"LEU4",-0.131810269647578
"RPL16A",-0.11531448959802
"CAALFM_C100190CA",5.0292130543028
"CAALFM_C100200CA",1.61930294561981
"CAALFM_C100210CA",0.923035152139573
"PHR2",-2.19771191643177
"BFA1",0.136250598349587
"tT(AGU)6",-1.29494140705638
"CAALFM_C100270WA",2.4506004213428
"RFC52",NA
"POL93",1.13571134024611
"CAALFM_C100310WA",0.445126491651409
"CAALFM_C100320WA",-0.673501180264184
"CAALFM_C100330CA",-0.388803582628869
"HBR1",-0.683807121715917
"HMX1",2.360626754838
"CDC13",0.148913640183025
"CAALFM_C100370WA",-0.46106922924793
"CAALFM_C100380CA",0.423646193240425
"ENA2",3.48468028388596
"SVF1",-0.367830470917444
"CAALFM_C100410CA",0.849651251387236
"CAALFM_C100420WA",1.19941683997348
"CAALFM_C100430WA",1.04789019679152
"UBP6",0.3321767665437
"CAALFM_C100450CA",-0.469874197902887
"CAALFM_C100460WA",-0.340028538473138
"CAALFM_C100470CA",-0.619054863597842
"GCN20",0.0297726496573249
"TTR1",-0.661354393373721
"GLO1",-1.71380771793655
"CAALFM_C100510WA",-0.210682916328516
"CAALFM_C100520WA",-0.876457466385991
"CAALFM_C100530CA",-0.617967802268819
"CAALFM_C100540CA",0.0786370792739541
"CIS2",1.26102047006483
"CNS1",-0.256632359666752
"CAALFM_C100570CA",0.225497552891586
"CAALFM_C100580WA",1.48951239645017
"TUF1",-0.926580030580997
"APC1",-0.444467711670988
"PSD1",0.779794718156437
"MOB2",0.550755813597225
"CAALFM_C100630WA",1.26971072874243
"RPO41",-0.352920343822216
"SNF7",0.164314602018304
"CAALFM_C100660CA",0.487323511814219
"UGA32",2.75710069648314
"ASM3",2.73113024195429
"RIC1",-0.0790192499847058
"CAALFM_C100700WA",0.133743786493202
"TUB2",0.0890581540541407
"tP(UGG)3",-2.17989960998281
"CMP1",-0.148921099877217
"SPE1",-0.124128818476108
"VPS27",0.488023320831974
"CAALFM_C100760WA",-0.306062546781092
"ROT1",0.268193933000403
"HGC1",2.12230205089414
"CAALFM_C100790WA",0.152692162573852
"ERG2",-1.95735746186417
"CAALFM_C100810WA",-1.02674057637582
"CAALFM_C100820WA",-0.049089986517993
"CAALFM_C100830WA",1.35135845048477
"NRM1",-0.301083521556387
"IHD2",1.4193408489365
"CAALFM_C100860WA",0.857173403501134
"LRO1",0.0667074132802081
"CAALFM_C100880WA",0.547395572044225
"CAALFM_C100890WA",0.555507838094274
"RRS1",0.135123998596485
"CAALFM_C100910WA",-0.974764553766997
"CAALFM_C100920WA",0.438426065670375
"SIN3",0.52923323307282
"RPB11",-0.467765594177417
"CDC5",-0.453740774458862
"SET1",-0.0407862452507989
"CAALFM_C100970WA",-0.849805953938067
"CAALFM_C100980WA",-0.657114884656633
"NMA111",0.225405683555631
"CAALFM_C101000CA",-0.649575215233917
"CAALFM_C101010WA",0.0181491566708125
"tA(AGC)4",-0.288761745720162
"HMT1",0.307199111318585
"CAALFM_C101040WA",1.03242156138924
"CAALFM_C101050CA",-0.833274621371753
"MBF1",-0.140447887228738
"CAALFM_C101070CA",-0.634881900246963
"CAALFM_C101080WA",-0.186804716707018
"CAALFM_C101090CA",-0.0860241804127357
"CCH1",-0.0784631353386305
"ZPR1",0.0206940633865096
"CAALFM_C101130WA",1.09609738563696
"CAALFM_C101140CA",1.53380907722927
"CAALFM_C101150CA",-0.513470301264108
"CAALFM_C101160CA",0.0032682801643361
"ZCF17",-0.413799493227054
"CAALFM_C101180CA",-0.457090005963586
"CAALFM_C101190CA",-0.231891883438286
"STB5",0.498900303690965
"CAALFM_C101210WA",0.563123205350607
"CAALFM_C101220CA",4.53732032590434
"IFD3",3.28710946450891
"CAALFM_C101250WA",-0.392660542176461
"TRS20",0.59566019229207
"CTA9",0.202208566842935
"MED22",-0.0630529385442853
"CAALFM_C101290CA",0.969509168655051
"CAALFM_C101300WA",-0.331539643686347
"MRS7",0.068084035481283
"DUT1",-0.383269719849402
"CAALFM_C101340CA",1.33671323479351
"TIF",-0.273714413304567
"CAALFM_C101360CA",0.341116056336998
"RPS21B",-0.172782147767079
"TRM2",0.273305665089388
"CAALFM_C101390CA",-0.849122560623017
"CAALFM_C101400CA",0.498346845483797
"CRL1",-0.815158042303054
"POX18",2.60085556640429
"ABC1",1.30530116091542
"CAALFM_C101460WA",0.0984096671550393
"CAALFM_C101470WA",-0.0838913314948901
"RPS21",-0.319815675047132
"CAALFM_C101490WA",0.287919491744756
"CAALFM_C101510WA",0.280218488827683
"SOD2",-1.48920621003174
"CAALFM_C101530CA",-0.248603942713842
"CAALFM_C101540WA",0.54925666865723
"VPS17",0.807073678325484
"SIZ1",0.109725346324664
"RPB7",-0.763654282073199
"CAALFM_C101580WA",-0.575836216459781
"CAALFM_C101590CA",-0.0112687553140045
"MRP20",-0.728175687214127
"CAALFM_C101610CA",-1.40948723181905
"CAALFM_C101620CA",-0.297131036182302
"CAALFM_C101630WA",0.852457242887416
"RPS42",0.242034936609931
"ISN1",1.10974379489909
"tS(UGA)1",0.0700179977911339
"ESP1",-1.08925696905601
"CAALFM_C101680CA",-0.882511270721529
"LSC1",-0.375033392604133
"ARP8",0.628853772412204
"CAALFM_C101710WA",3.0488161226096
"CAALFM_C101720CA",-0.277635000070986
"tA(AGC)3",-0.0088492115329121
"CTN1",5.33737200968137
"CAALFM_C101750WA",0.965874126249854
"FGR38",0.744099809377297
"MAK32",-0.41545464243156
"HOL4",1.74335990993124
"SWI4",0.574373302058689
"CAALFM_C101800WA",-0.371654915053013
"UGA2",0.656814541921198
"CAALFM_C101820CA",-0.234658753829143
"UBC8",0.152611863020605
"CAALFM_C101840CA",3.82771547121359
"CAALFM_C101850CA",0.622156705221253
"CAALFM_C101860WA",-0.816606322412568
"CYS4",-0.00753381153776854
"PTR3",0.162036951127284
"CAALFM_C101890CA",1.21282013543944
"CAALFM_C101900CA",0.0313263000437907
"CAALFM_C101910WA",0.341955003971291
"ROA1",1.84755700176278
"CAALFM_C101930WA",-1.00775110344179
"CAALFM_C101940CA",-0.00208230114481254
"CAALFM_C101950CA",-0.176306415265649
"CAALFM_C101970WA",0.202463265062976
"HGT1",5.5302339974124
"HSP30",0.850527298700847
"CAALFM_C102000WA",-0.110776582581964
"ZCF24",0.894564200490393
"CAALFM_C102020WA",0.389219016621498
"CAALFM_C102030CA",-0.232637408360222
"CAALFM_C102040CA",1.29691166137358
"PHO91",0.62842428422707
"CAALFM_C102060WA",-0.537805475821208
"HSP31",1.32732177835704
"SET6",-0.170881456977783
"CAALFM_C102090CA",-0.018331957387366
"CAALFM_C102100WA",-0.108032917295702
"HGT2",7.25070559853162
"SHA3",5.95581651347153
"GAL1",3.65924335294577
"GAL10",5.16768340470906
"CAALFM_C102160WA",0.32746329125998
"GAL102",2.22846642367836
"GAL7",3.70960445920012
"ABP140",-0.0847261451630134
"CAALFM_C102200CA",0.898573296384202
"CAALFM_C102210WA",0.39785314396697
"CAALFM_C102220CA",-0.16139666805336
"SEP7",0.0569440808546198
"CAALFM_C102240WA",0.101305828316637
"CWH8",-0.0444130543963483
"AGE3",-0.531991976100178
"CAALFM_C102270CA",7.9236257160835
"PSY2",0.227966460712578
"CAALFM_C102290CA",-0.271408188841126
"CAALFM_C102300WA",-0.340211589607963
"CAALFM_C102310CA",-0.275311911468282
"CAALFM_C102320CA",1.74763564950735
"CAALFM_C102330CA",-0.265647623843713
"tR(CCG)1",-0.0308405082084069
"TIM21",-0.468391444792392
"PGA5",-1.19520911280011
"CAALFM_C102370CA",0.380858447940968
"CAALFM_C102380CA",0.0083988028324715
"CAALFM_C102390WA",0.244020370124324
"MNN11",-0.842686223397737
"CAALFM_C102410CA",-0.63597078259832
"GSC1",0.657980782862528
"CAALFM_C102430CA",-0.468952145671849
"CAALFM_C102440CA",-0.78115136950339
"CAALFM_C102450CA",-1.13243513503094
"RPL10",-0.209199235223669
"CAALFM_C102470WA",0.616939203707885
"PMM1",-0.173730265408148
"CAALFM_C102490CA",-0.0829221036353311
"CAALFM_C102500WA",0.951188049265698
"CAALFM_C102510WA",0.959362573977698
"SCW4",9.85418481649231
"DIP5",3.22366422563597
"tR(UCU)4",0.602782152708656
"PUT4",0.925316946653072
"HNM4",1.70941666913807
"SNZ1",-1.22133180629138
"SNO1",-0.24264576730243
"IML1",-0.4048564830896
"HOM6",-0.966522878217618
"EXG2",-0.89910501533887
"TOM20",-0.286155735602581
"CAALFM_C102650WA",-0.0634625426631976
"MGM101",-0.531732430057298
"CAALFM_C102670CA",1.26227442675642
"CAALFM_C102680CA",1.50028085361247
"CAALFM_C102690CA",0.0921205934752984
"CAALFM_C102700CA",1.42015077535758
"FRS2",-0.174032577065537
"CAALFM_C102720WA",0.290110970977197
"CAALFM_C102730WA",0.178685172398172
"CAALFM_C102740CA",0.424346074745823
"CAALFM_C102750CA",-0.46506702474344
"CAALFM_C102760WA",-0.0718094701693404
"CAALFM_C102770WA",-0.616325164904818
"CAALFM_C102780WA",-1.00382540565878
"TIF34",-0.0710156570510216
"CAALFM_C102800WA",2.43820483839936
"RAD16",1.60320333527928
"LYS2",0.761178131020891
"CAALFM_C102830WA",-0.325003924566364
"PDE2",0.119389182561258
"CAALFM_C102850WA",0.163450960851341
"YKT6",0.225630013264813
"YPT7",-0.998196899496697
"MIA40",-0.414675969247693
"CAALFM_C102890CA",1.42210361194149
"CAALFM_C102900CA",-0.285154122283885
"CAALFM_C102910CA",-0.174772408376008
"CDC73",-0.247823627213521
"MST1",-0.747163623574047
"CAALFM_C102940CA",0.233911415497818
"CAALFM_C102950WA",0.260555405742904
"CAALFM_C102960CA",-0.616517975586689
"CAALFM_C102970WA",-2.24364824557999
"GOR1",0.439621728400674
"XOG1",2.09344718818223
"HOL1",0.741521591656885
"RPP1A",-0.456857258540109
"RPL13",-0.460638136754896
