"","condition_YS30_vs_ctl"
"CAALFM_C100020CA",0.737165830265171
"CAALFM_C100030CA",-0.0766274831702723
"CTA2",-2.33882038585852
"TUP1",-0.535772638820765
"MVD",-0.844207179625661
"RCA1",0.26458533119419
"CAALFM_C100090WA",-0.151952120163258
"CAALFM_C100100CA",-0.549314113122311
"CCT8",-0.0726895074622955
"TRP1",0.22953232738727
"VPS53",-0.237135588040873
"KEL1",-0.388823741414076
"RIM8",0.00995783051790063
"CAALFM_C100160CA",0.985453758457167
"LEU4",-1.33753643260449
"RPL16A",0.365819345655053
"CAALFM_C100190CA",0.213731013881902
"CAALFM_C100200CA",1.01574456583622
"CAALFM_C100210CA",0.103185912556767
"PHR2",0.311897934352543
"BFA1",0.102334821900353
"tT(AGU)6",-0.898573804187454
"CAALFM_C100270WA",4.1847726420087
"RFC52",NA
"POL93",2.32264469520878
"CAALFM_C100310WA",-0.332919049193433
"CAALFM_C100320WA",-0.694200855383976
"CAALFM_C100330CA",-0.185262432222544
"HBR1",0.121527881364212
"HMX1",2.46463799587916
"CDC13",1.12958488765307
"CAALFM_C100370WA",0.0859085493968791
"CAALFM_C100380CA",-0.0756998510164508
"ENA2",0.44338244759866
"SVF1",0.185661910095265
"CAALFM_C100410CA",-3.39614139477603
"CAALFM_C100420WA",-0.560962806670835
"CAALFM_C100430WA",-0.0564670869462285
"UBP6",0.417318128640642
"CAALFM_C100450CA",-0.368854086525274
"CAALFM_C100460WA",-0.486870630324408
"CAALFM_C100470CA",0.261913690369882
"GCN20",0.321737819060622
"TTR1",1.48224496371965
"GLO1",-1.32448219533092
"CAALFM_C100510WA",0.162801413134394
"CAALFM_C100520WA",-0.0948175384102983
"CAALFM_C100530CA",0.0214103295440212
"CAALFM_C100540CA",0.0740177884215043
"CIS2",0.316021759278744
"CNS1",-0.0070884044224564
"CAALFM_C100570CA",0.22793199937019
"CAALFM_C100580WA",0.0286293683374065
"TUF1",-0.707450231948555
"APC1",-0.227997210128088
"PSD1",0.73518286867886
"MOB2",0.605898948539337
"CAALFM_C100630WA",-0.126856794309872
"RPO41",-0.203752461320523
"SNF7",-0.0035614425557989
"CAALFM_C100660CA",0.431610665713508
"UGA32",-1.12154459875434
"ASM3",0.0585880466164658
"RIC1",-0.892165049014104
"CAALFM_C100700WA",0.243071758498349
"TUB2",0.87492185716505
"tP(UGG)3",-0.6022467698098
"CMP1",0.0138250383057029
"SPE1",0.40882817045255
"VPS27",-0.101511803603914
"CAALFM_C100760WA",0.0969098730153904
"ROT1",0.409662181043895
"HGC1",1.93186503041303
"CAALFM_C100790WA",1.20966068956173
"ERG2",-0.764008388219093
"CAALFM_C100810WA",-0.625078929093268
"CAALFM_C100820WA",0.341696255218473
"CAALFM_C100830WA",0.496760818868867
"NRM1",0.604308779703391
"IHD2",1.77267235130262
"CAALFM_C100860WA",0.525991405296717
"LRO1",0.0247351307630233
"CAALFM_C100880WA",-4.12331186438064
"CAALFM_C100890WA",-0.130492725870651
"RRS1",0.842462708343541
