"","condition_FL3_vs_ctl"
"CAALFM_C100020CA",-0.0486619217306959
"CAALFM_C100030CA",1.91931748774307
"CTA2",4.09835318837563
"TUP1",0.761796181188946
"MVD",0.719575735350606
"RCA1",-0.125077134949931
"CAALFM_C100090WA",0.0192807687263883
"CAALFM_C100100CA",-0.498608520203466
"CCT8",-0.467641700980282
"TRP1",-0.395483378876659
"VPS53",0.653621866060849
"KEL1",0.826424019411577
"RIM8",-0.58994449524736
"CAALFM_C100160CA",-2.87216105298466
"LEU4",-0.773122593807278
"RPL16A",-0.857108419646043
"CAALFM_C100190CA",-0.669687213439742
"CAALFM_C100200CA",0.649952852474705
"CAALFM_C100210CA",0.562579995243115
"PHR2",-2.71261763790517
"BFA1",0.051069631179414
"tT(AGU)6",0.306739785470536
"CAALFM_C100270WA",1.07103596568697
"RFC52",NA
"POL93",1.43597852679954
"CAALFM_C100310WA",2.92562543876702
"CAALFM_C100320WA",0.787034150467875
"CAALFM_C100330CA",-0.105575876642965
"HBR1",-0.77457494945818
"HMX1",-1.15783418172449
"CDC13",-0.878019071484338
"CAALFM_C100370WA",-0.32892156004342
"CAALFM_C100380CA",-0.00536388178923715
"ENA2",1.99038823297969
"SVF1",-0.906656077479976
"CAALFM_C100410CA",4.41534435571762
"CAALFM_C100420WA",4.41090925917835
"CAALFM_C100430WA",0.592231795540451
"UBP6",-0.275475860236415
"CAALFM_C100450CA",0.375799728621022
"CAALFM_C100460WA",0.359975644799395
"CAALFM_C100470CA",-0.528743566925486
"GCN20",-1.08641377334357
"TTR1",-0.577630530017128
"GLO1",2.38775817641409
"CAALFM_C100510WA",-0.784868835820851
"CAALFM_C100520WA",-0.474682940800669
"CAALFM_C100530CA",1.6533040035473
"CAALFM_C100540CA",-1.06957386961142
"CIS2",0.132723750585687
"CNS1",-1.24951664969034
"CAALFM_C100570CA",-0.016320439022884
"CAALFM_C100580WA",2.16399383674595
"TUF1",-0.642803063701697
"APC1",0.284893238600335
"PSD1",0.310199510919725
"MOB2",-0.2141381075676
"CAALFM_C100630WA",1.56366695420835
"RPO41",-1.38617525911049
"SNF7",-0.323026829606902
"CAALFM_C100660CA",-0.191839855713602
"UGA32",3.14878205726512
"ASM3",0.64999831009481
"RIC1",2.45556728470492
"CAALFM_C100700WA",-0.31134597624257
"TUB2",-0.100574885876255
"tP(UGG)3",1.12805733131796
"CMP1",-0.00456672440422343
"SPE1",-0.87286002914233
"VPS27",1.22610624789678
"CAALFM_C100760WA",0.543530719514568
"ROT1",-1.10669020888493
"HGC1",2.97129741435624
"CAALFM_C100790WA",-0.479528417051605
"ERG2",0.280593430313195
"CAALFM_C100810WA",-0.115411940933097
"CAALFM_C100820WA",0.714235683078909
"CAALFM_C100830WA",1.12993570672619
"NRM1",-0.633949843317197
"IHD2",0.832131456333713
"CAALFM_C100860WA",0.0894773419590764
"LRO1",0.336759862392205
"CAALFM_C100880WA",3.99123864980329
"CAALFM_C100890WA",0.742022492482989
"RRS1",-1.8067104380362
"CAALFM_C100910WA",0.412642539929062
"CAALFM_C100920WA",0.668035462873404
"SIN3",-0.58855174658554
"RPB11",-0.448725028638326
"CDC5",0.227345745951804
"SET1",-0.456673018202484
"CAALFM_C100970WA",0.569271428013664
"CAALFM_C100980WA",-0.0587776334739385
"NMA111",-1.86453580480006
"CAALFM_C101000CA",0.26937766568719
"CAALFM_C101010WA",-0.237836347645207
"tA(AGC)4",0.0939909243441249
"HMT1",-2.20209701399873
"CAALFM_C101040WA",-0.287456934783513
"CAALFM_C101050CA",0.916063968891669
"MBF1",-0.142033675176878
"CAALFM_C101070CA",-0.194698572295176
"CAALFM_C101080WA",0.0904737971034331
"CAALFM_C101090CA",-0.377758275396706
"CCH1",0.113052520821802
"ZPR1",-1.88420119993196
"CAALFM_C101130WA",-0.412157381788958
"CAALFM_C101140CA",1.79014199357658
"CAALFM_C101150CA",-1.23170202957158
"CAALFM_C101160CA",-1.24739090248248
"ZCF17",-0.902353254566937
"CAALFM_C101180CA",0.923843787445834
"CAALFM_C101190CA",0.964608339848837
"STB5",1.41112944148041
"CAALFM_C101210WA",-1.23905499242822
"CAALFM_C101220CA",0.0911118228440454
"IFD3",3.24392252206659
"CAALFM_C101250WA",1.05362551497918
"TRS20",0.688017188743146
"CTA9",0.692839453806401
"MED22",0.225472008688559
"CAALFM_C101290CA",1.3505611440621
"CAALFM_C101300WA",0.804790276140135
"MRS7",-0.426308636312779
"DUT1",-0.565759749983712
"CAALFM_C101340CA",1.36854170046233
"TIF",-1.22957132106178
"CAALFM_C101360CA",3.32270735452948
"RPS21B",-0.489420209765301
"TRM2",-1.46434317775365
"CAALFM_C101390CA",0.366960235182377
"CAALFM_C101400CA",0.969173719809947
"CRL1",-0.258009238457583
"POX18",1.42607918668449
"ABC1",-0.799154707484145
"CAALFM_C101460WA",0.50538079760909
"CAALFM_C101470WA",-1.19183146914602
"RPS21",-0.756729251627457
"CAALFM_C101490WA",4.18360689785425
"CAALFM_C101510WA",1.55724751688467
"SOD2",2.68108166093958
"CAALFM_C101530CA",-1.0522251160667
"CAALFM_C101540WA",0.962874899171955
"VPS17",0.369260262314514
"SIZ1",-0.501921440364015
"RPB7",-0.385388547581297
"CAALFM_C101580WA",-0.473406350858884
"CAALFM_C101590CA",-0.897074798962028
"MRP20",-0.590825995702142
"CAALFM_C101610CA",1.17737767080963
"CAALFM_C101620CA",1.26381232203125
"CAALFM_C101630WA",0.164178131001381
"RPS42",-1.6608593297695
"ISN1",0.826437657636021
"tS(UGA)1",0.132560270010021
"ESP1",0.434614756706425
"CAALFM_C101680CA",-0.243011350530973
"LSC1",0.0246872857331784
"ARP8",0.0573648251478461
"CAALFM_C101710WA",0.238813416278746
"CAALFM_C101720CA",0.39124692781325
"tA(AGC)3",-0.00987200003589279
"CTN1",5.21540308357346
"CAALFM_C101750WA",-0.738864811133433
"FGR38",1.2852217699181
"MAK32",2.25289470296021
"HOL4",-0.0884027257731934
"SWI4",-1.06347788967541
"CAALFM_C101800WA",0.1033234603374
"UGA2",1.83833047583665
"CAALFM_C101820CA",-0.317983843320005
"UBC8",1.91761996421304
"CAALFM_C101840CA",1.82159782148041
"CAALFM_C101850CA",-0.623070851050397
"CAALFM_C101860WA",-1.02848054724892
"CYS4",-1.06318257890915
"PTR3",0.184630669653927
"CAALFM_C101890CA",0.0470676893139162
"CAALFM_C101900CA",-0.454156806997268
"CAALFM_C101910WA",-1.51523756009167
"ROA1",-0.565483094840847
"CAALFM_C101930WA",4.22711702703026
"CAALFM_C101940CA",-0.250932074352203
"CAALFM_C101950CA",0.848891789663814
"CAALFM_C101970WA",-0.558173792741273
"HGT1",7.01120211574986
"HSP30",2.85490522825762
"CAALFM_C102000WA",0.573153044432101
"ZCF24",1.94669272732318
"CAALFM_C102020WA",1.36945821881407
"CAALFM_C102030CA",0.261481992552485
"CAALFM_C102040CA",2.30779976323462
"PHO91",0.159435455961673
"CAALFM_C102060WA",5.08092140949889
"HSP31",1.00646677486544
"SET6",-1.51629151292873
"CAALFM_C102090CA",-1.2777082679023
"CAALFM_C102100WA",0.850285239569763
"HGT2",5.28036667928659
"SHA3",0.879630326953319
"GAL1",4.77551208927486
"GAL10",5.97042570016671
"CAALFM_C102160WA",0.679008969390987
"GAL102",1.44999535093543
"GAL7",1.04905166203781
"ABP140",-1.56283273965644
"CAALFM_C102200CA",1.26744105749525
"CAALFM_C102210WA",1.30760973789323
"CAALFM_C102220CA",1.37542883438039
"SEP7",-0.342553077489995
"CAALFM_C102240WA",-0.533391406029257
"CWH8",1.02500807201895
"AGE3",0.485941396103989
"CAALFM_C102270CA",6.41903247796772
"PSY2",-0.425009822839617
"CAALFM_C102290CA",0.235711469015389
"CAALFM_C102300WA",0.0731095451762798
"CAALFM_C102310CA",0.263905877563994
"CAALFM_C102320CA",0.875287481287238
"CAALFM_C102330CA",-0.732677503253994
"tR(CCG)1",0.28995989673285
"TIM21",-0.141413975133681
"PGA5",-0.2255107740455
"CAALFM_C102370CA",-0.617398550811902
"CAALFM_C102380CA",-0.427703478079151
"CAALFM_C102390WA",-0.861674779404115
"MNN11",-0.544248084484799
"CAALFM_C102410CA",0.284571194858784
"GSC1",-1.28827135344333
"CAALFM_C102430CA",-1.20187327799639
"CAALFM_C102440CA",1.13582296356445
"CAALFM_C102450CA",-0.998791687938308
"RPL10",-0.707299490922312
"CAALFM_C102470WA",0.809788596858369
"PMM1",-0.68438922101052
"CAALFM_C102490CA",-0.256331782486532
"CAALFM_C102500WA",0.251022921088476
"CAALFM_C102510WA",-0.195907215273956
"SCW4",-0.519825510596531
"DIP5",0.397958424661469
"tR(UCU)4",7.24209676191406
"PUT4",0.430953611408712
"HNM4",-0.533037663192545
"SNZ1",7.46281454955687
"SNO1",6.7598690215122
"IML1",0.962835403861722
"HOM6",0.539731719876011
"EXG2",0.438855713747003
"TOM20",-1.08775911850382
"CAALFM_C102650WA",-0.0750363411459185
"MGM101",-0.735596528225178
"CAALFM_C102670CA",-0.013773103820937
"CAALFM_C102680CA",0.28453412000076
"CAALFM_C102690CA",0.756805481369156
"CAALFM_C102700CA",5.07598644410682
"FRS2",-0.831504108295142
"CAALFM_C102720WA",0.00552475951254581
"CAALFM_C102730WA",1.19293086947637
"CAALFM_C102740CA",0.632875076954461
"CAALFM_C102750CA",-0.513403551926334
"CAALFM_C102760WA",0.0398972030564519
"CAALFM_C102770WA",0.373915595218368
"CAALFM_C102780WA",3.48082753107713
"TIF34",-1.29891042028428
"CAALFM_C102800WA",-0.744641447112524
"RAD16",-2.02862338248213
"LYS2",1.91582779765687
"CAALFM_C102830WA",0.345776437363098
"PDE2",-0.322477702554895
"CAALFM_C102850WA",-1.00027183921177
"YKT6",0.416574674326827
"YPT7",0.384759730449548
"MIA40",-0.830148460592418
"CAALFM_C102890CA",0.21249694677372
"CAALFM_C102900CA",-0.394635212628611
"CAALFM_C102910CA",1.56853563683453
"CDC73",-0.259594432077916
"MST1",-0.448505452036722
"CAALFM_C102940CA",-0.195547749679111
"CAALFM_C102950WA",0.458362637364043
"CAALFM_C102960CA",-0.0890101043412426
"CAALFM_C102970WA",2.10151348060358
"GOR1",4.05050564517339
"XOG1",-0.181723058315252
"HOL1",0.312099863238508
"RPP1A",-0.706011973272426
"RPL13",-0.767214717444585
"RPS16A",-0.606673474432481
"CAALFM_C103040WA",-0.625970905422261
"CAALFM_C103050WA",-0.0724169187354853
"TSR2",-1.23044122848929
"ORC1",0.0702945701452695
"TEM1",1.01451253055334
"RPS1",-0.829386449327293
"CAALFM_C103100WA",2.42574922393332
"RPL6",-0.790051962952734
"CAALFM_C103120WA",0.248373546187781
"GGA2",1.13393606852823
"CAALFM_C103140WA",2.32102810145655
"CAALFM_C103150CA",4.52447789369229
"COQ4",1.0444248764748
"CAALFM_C103170CA",1.14103015939801
"CAALFM_C103180WA",0.21942208417795
"ECM33",0.0733116462009735
"ARO80",0.146116555869572
"CDC12",0.119665397934615
"BMH1",0.52672040428898
"ARX1",-2.06928550525096
"CAALFM_C103240WA",0.418331624776275
"SPP1",-0.0626534240802366
"CAALFM_C103260WA",-0.734813959185628
"CAALFM_C103270WA",1.58762451742585
"CAALFM_C103280WA",-0.633163381556408
"NGG1",-0.130088169479222
"MAS1",-0.568783267157564
"CAALFM_C103310WA",-0.362262815817825
"EHD3",2.86661868264447
"CAALFM_C103330CA",0.530567398441205
"SEC62",-0.741677011230835
"RLI1",-1.53614184014669
"CAALFM_C103360WA",-0.190092208405551
"CAALFM_C103370WA",-2.28708248237094
"TPS2",2.2033234603495
"EHT1",-1.74507524284431
"CAALFM_C103400WA",0.0319665748234567
"CAALFM_C103410WA",0.144243482810395
"tN(GUU)3",0.495903116196184
"CAALFM_C103430WA",0.711217604541541
"CAALFM_C103440CA",-0.0744533515983834
"CAALFM_C103450CA",2.16592961512106
"CAALFM_C103460CA",-1.87120364100011
"CAALFM_C103470CA",-0.351118550466204
"AGE1",1.64505820330778
