"","condition_LL30_vs_ctl"
"CAALFM_C100020CA",1.67962519271339
"CAALFM_C100030CA",2.25471507544804
"CTA2",4.10481521371469
"TUP1",1.10492932093741
"MVD",0.0816822577093603
"RCA1",-0.239797096655797
"CAALFM_C100090WA",-0.449531143552719
"CAALFM_C100100CA",-0.286655304534298
"CCT8",-0.518849699047779
"TRP1",-0.0607974582904821
"VPS53",0.991112753159261
"KEL1",1.27809100858751
"RIM8",-0.644536852482785
"CAALFM_C100160CA",-4.01244117979412
"LEU4",-0.00185375698756322
"RPL16A",-0.795654281981025
"CAALFM_C100190CA",-0.338204961607068
"CAALFM_C100200CA",1.08169185568539
"CAALFM_C100210CA",1.07449012725658
"PHR2",-4.02982953394405
"BFA1",0.85608452942313
"tT(AGU)6",0.084196256881209
"CAALFM_C100270WA",-0.803983738525614
"RFC52",NA
"POL93",-0.156908083636788
"CAALFM_C100310WA",2.28040210742402
"CAALFM_C100320WA",0.923148897246875
"CAALFM_C100330CA",-0.183149020883624
"HBR1",-1.68243891255533
"HMX1",-1.82459469535549
"CDC13",0.209436347851159
"CAALFM_C100370WA",-0.25683438724613
"CAALFM_C100380CA",-0.248212433973559
"ENA2",2.5932537591592
"SVF1",-0.820835181616475
"CAALFM_C100410CA",3.15491184242223
"CAALFM_C100420WA",4.07209323309549
"CAALFM_C100430WA",0.498011708313202
"UBP6",0.233041833119962
"CAALFM_C100450CA",0.15189982730967
"CAALFM_C100460WA",0.236585328850537
"CAALFM_C100470CA",-0.79177128770852
"GCN20",-0.941793740557335
"TTR1",0.641277922256802
"GLO1",1.90699115089143
"CAALFM_C100510WA",-0.672856281422254
"CAALFM_C100520WA",-0.102218686190904
"CAALFM_C100530CA",1.94162609672692
"CAALFM_C100540CA",-1.1863967035172
"CIS2",0.498889085394986
"CNS1",-1.85932693955919
"CAALFM_C100570CA",-0.431395617660137
"CAALFM_C100580WA",2.14256122358875
"TUF1",-0.985604703084684
"APC1",-0.0685655131909764
"PSD1",0.293495510549491
"MOB2",0.581870028730229
"CAALFM_C100630WA",2.78705097296075
"RPO41",-2.22131317067584
"SNF7",0.444072393852361
"CAALFM_C100660CA",0.642551556765789
"UGA32",2.82871660735187
"ASM3",0.396577124827254
"RIC1",2.5205705078823
"CAALFM_C100700WA",-0.333237392045082
"TUB2",-0.197594141303338
"tP(UGG)3",0.372244509291666
"CMP1",0.787436272163949
"SPE1",-0.845395260122123
"VPS27",1.18937547823837
"CAALFM_C100760WA",0.805175490306669
"ROT1",-0.610692910537665
"HGC1",4.2945030845276
"CAALFM_C100790WA",0.375780119200678
"ERG2",-0.150117954293357
"CAALFM_C100810WA",-0.170606667273602
"CAALFM_C100820WA",1.06691407279644
"CAALFM_C100830WA",0.963334996295322
