"","condition_LS3_vs_ctl"
"CAALFM_C100020CA",-0.564288509521466
"CAALFM_C100030CA",0.984962835138485
"CTA2",3.6627316551535
"TUP1",0.101550058467645
"MVD",0.542154016794723
"RCA1",-0.579322664235316
"CAALFM_C100090WA",-0.091135928298044
"CAALFM_C100100CA",-0.584855812588523
"CCT8",-0.618213994096602
"TRP1",-0.412462135388227
"VPS53",0.613472054676978
"KEL1",0.741845321270797
"RIM8",-1.30916904635759
"CAALFM_C100160CA",-1.97357039234461
"LEU4",-0.719021598321793
"RPL16A",-0.235718765448092
"CAALFM_C100190CA",-3.24844872250324
"CAALFM_C100200CA",0.576626406135522
"CAALFM_C100210CA",0.691516420226685
"PHR2",-2.77225169662832
"BFA1",-0.155170724237387
"tT(AGU)6",0.317307440040743
"CAALFM_C100270WA",-1.64933005761022
"RFC52",NA
"POL93",-1.66769494579318
"CAALFM_C100310WA",1.99804377801875
"CAALFM_C100320WA",0.541027385751564
"CAALFM_C100330CA",-0.213080626888844
"HBR1",-0.467088987398349
"HMX1",-1.24962707332857
"CDC13",-1.55966981425803
"CAALFM_C100370WA",-0.0369814363704192
"CAALFM_C100380CA",0.275679027941189
"ENA2",1.2158073628277
"SVF1",-0.575564693471574
"CAALFM_C100410CA",4.03238170489835
"CAALFM_C100420WA",4.17331583880651
"CAALFM_C100430WA",0.463324201554274
"UBP6",0.0409168771310007
"CAALFM_C100450CA",0.719894584532355
"CAALFM_C100460WA",0.428182701857443
"CAALFM_C100470CA",-0.261445830681899
"GCN20",-0.678537475880141
"TTR1",-1.00553276938534
"GLO1",2.58564594288791
"CAALFM_C100510WA",-0.340122862274658
"CAALFM_C100520WA",-0.444143386318193
"CAALFM_C100530CA",1.07386493248046
"CAALFM_C100540CA",-0.966951827331711
"CIS2",-0.340864347699346
"CNS1",-0.449297956355501
"CAALFM_C100570CA",-0.297855768431763
"CAALFM_C100580WA",1.07013520453022
"TUF1",-0.763980791406625
"APC1",-0.192691965293213
"PSD1",0.121868115834194
"MOB2",-0.521753768122283
"CAALFM_C100630WA",1.6897289967429
"RPO41",-0.917247663156513
"SNF7",-0.496684408683066
"CAALFM_C100660CA",-0.351487867906881
