"","condition_YL3_vs_ctl"
"CAALFM_C100020CA",-0.604343407515276
"CAALFM_C100030CA",0.443894736423027
"CTA2",2.41860400525588
"TUP1",0.835545541337555
"MVD",1.05586246769678
"RCA1",-0.30836567560497
"CAALFM_C100090WA",0.0773277258720062
"CAALFM_C100100CA",-0.128634536364316
"CCT8",-0.0604519235776534
"TRP1",-0.375348589773268
"VPS53",0.365430683288018
"KEL1",0.632325781608499
"RIM8",-0.513870331910794
"CAALFM_C100160CA",-1.46178804907184
"LEU4",-0.419453013980954
"RPL16A",-0.0627456699369207
"CAALFM_C100190CA",-2.38505234944059
"CAALFM_C100200CA",0.034384236759626
"CAALFM_C100210CA",0.430056844993868
"PHR2",-0.83409703910152
"BFA1",-0.068978601628716
"tT(AGU)6",0.349172330853964
"CAALFM_C100270WA",-4.22581584154458
"RFC52",NA
"POL93",-2.95261753068643
"CAALFM_C100310WA",1.39769700345723
"CAALFM_C100320WA",0.625608077336826
"CAALFM_C100330CA",-0.0457707645147432
"HBR1",-0.321910624361802
"HMX1",-1.91558215389815
"CDC13",-1.26132034420103
"CAALFM_C100370WA",0.00591477773773994
"CAALFM_C100380CA",0.319598081505201
"ENA2",0.156864179589904
"SVF1",-0.67524643552466
"CAALFM_C100410CA",4.52548366482469
"CAALFM_C100420WA",4.0118457095119
"CAALFM_C100430WA",0.240193365916104
"UBP6",-0.0801016385068673
"CAALFM_C100450CA",0.928102445433703
"CAALFM_C100460WA",0.705075942180516
"CAALFM_C100470CA",-0.442616457320143
"GCN20",-0.719570900288114
"TTR1",-0.675455607372687
"GLO1",2.49123509862904
"CAALFM_C100510WA",-0.0899929398699506
"CAALFM_C100520WA",-0.358264876898309
"CAALFM_C100530CA",1.26749088115206
"CAALFM_C100540CA",-0.933269902655756
"CIS2",-0.36127510264068
"CNS1",-0.735843670227488
"CAALFM_C100570CA",-0.284309974068016
"CAALFM_C100580WA",1.43864508993366
"TUF1",0.405694057322833
"APC1",-0.205252913948727
"PSD1",0.0652192333928104
"MOB2",-0.53210271684118
"CAALFM_C100630WA",0.646525814415176
"RPO41",-0.753247360905467
"SNF7",-0.28859044755823
"CAALFM_C100660CA",-0.185263441553089
"UGA32",2.43964578044085
"ASM3",-0.580845202283746
"RIC1",2.32396959831835
"CAALFM_C100700WA",0.264692818457311
"TUB2",-0.564826093792158
"tP(UGG)3",0.933020827301908
"CMP1",0.0629401452990284
"SPE1",-0.450352025456019
"VPS27",0.843059548282881
"CAALFM_C100760WA",0.362335014419356
"ROT1",-0.705374389271243
"HGC1",-1.657786922371
"CAALFM_C100790WA",-0.81713389931321
"ERG2",0.532114779403175
"CAALFM_C100810WA",0.406859331120239
"CAALFM_C100820WA",0.305029649267975
"CAALFM_C100830WA",0.290935792335203
"NRM1",-0.602506419345616
"IHD2",-2.18176838688016
"CAALFM_C100860WA",-0.564452294535221
"LRO1",-0.306624417245844
"CAALFM_C100880WA",3.50778821458718
"CAALFM_C100890WA",0.655932244601742
"RRS1",-1.30356911254441
"CAALFM_C100910WA",0.525037517447714
"CAALFM_C100920WA",0.212264929364552
"SIN3",-0.420467436160676
"RPB11",0.0936511659422851
"CDC5",0.0770341198241771
"SET1",-0.554996189793312
"CAALFM_C100970WA",0.612520007365719
"CAALFM_C100980WA",0.50615842982515
"NMA111",-1.49820581002766
"CAALFM_C101000CA",0.424259250082318
"CAALFM_C101010WA",0.178221202642925
"tA(AGC)4",0.0986072988682555
"HMT1",-1.40453858936919
"CAALFM_C101040WA",-0.966848777287358
"CAALFM_C101050CA",1.2079213062003
"MBF1",0.369782204740614
"CAALFM_C101070CA",-0.100068198805467
"CAALFM_C101080WA",-0.206813990003197
"CAALFM_C101090CA",0.213154660973924
"CCH1",-0.378096569156779
"ZPR1",-1.14994195807683
"CAALFM_C101130WA",-0.788809957393338
"CAALFM_C101140CA",1.01727016744079
"CAALFM_C101150CA",-0.546108626216867
"CAALFM_C101160CA",-0.895194447953986
"ZCF17",-0.445461233782546
"CAALFM_C101180CA",0.7371517975485
"CAALFM_C101190CA",0.889884399534084
"STB5",1.5234541929666
"CAALFM_C101210WA",-1.02274595852079
"CAALFM_C101220CA",-2.84732369810866
"IFD3",2.44790569112688
"CAALFM_C101250WA",1.97459003102568
"TRS20",0.381973745764767
"CTA9",0.412111084356829
"MED22",0.395219736295512
"CAALFM_C101290CA",0.351808150418874
"CAALFM_C101300WA",0.997173533707611
"MRS7",0.164645164570055
"DUT1",-0.562540980205271
"CAALFM_C101340CA",0.322381168912636
"TIF",-0.57326892500895
"CAALFM_C101360CA",1.9942710510883
"RPS21B",0.105747864016136
