"","condition_FL3_vs_ctl","condition_FL30_vs_ctl","condition_FS3_vs_ctl","condition_FS30_vs_ctl","condition_LL3_vs_ctl","condition_LL30_vs_ctl","condition_LS3_vs_ctl","condition_LS30_vs_ctl","condition_RL3_vs_ctl","condition_RL30_vs_ctl","condition_RS3_vs_ctl","condition_RS30_vs_ctl","condition_SL3_vs_ctl","condition_SL30_vs_ctl","condition_SS3_vs_ctl","condition_SS30_vs_ctl","condition_YL3_vs_ctl","condition_YS3_vs_ctl","condition_YS30_vs_ctl"
"CAALFM_C100020CA",-0.0486619217306959,0.980368635531166,-0.792884184496352,0.127345345128766,0.44016913049695,1.67962519271339,-0.564288509521466,-0.0278989881791477,0.243135948376095,0.507178217031516,-0.716768877784576,-0.0986699533924083,0.0400596044453014,0.914105037804325,-0.769146055999784,-0.350090541296698,-0.604343407515276,-0.926056102470412,0.129933015821897
"CAALFM_C100030CA",1.91931748774307,1.53125950577587,1.19893417287268,1.32893424487099,2.43548173230794,2.25471507544804,0.984962835138485,2.12692738769219,1.24324906653853,1.22906629745268,0.912651641718347,0.94906302611484,1.9257473298052,1.45028982675957,1.14553685155494,0.904483744831496,0.443894736423027,0.634224219953348,0.255025908509833
"CTA2",4.09835318837563,2.15134521680012,3.62300895920626,1.69665318782898,4.76044803682208,4.10481521371469,3.6627316551535,2.23569879591695,4.83532974177028,3.50040707855056,3.48334453600109,1.13123807910523,3.74289678569306,2.7428082284587,2.73036973922874,1.13771256606719,2.41860400525588,2.05079985710832,0.0386237871954991
"TUP1",0.761796181188946,0.609228732005829,0.410202828876975,0.123907118814635,0.686781813297258,1.10492932093741,0.101550058467645,0.205915910120543,1.04019399147355,0.537753225285785,0.324595678793337,-0.0161772703696817,0.698056546699426,1.00207764616102,0.226551925109568,-0.0945816041011088,0.835545541337555,0.332784429785774,0.242708471190658
"MVD",0.719575735350606,-0.359186180230422,0.486069930020832,-0.200499403769998,0.530003876720213,0.0816822577093603,0.542154016794723,-0.828960882166108,1.13842839889133,0.0483894230039106,0.65290905138652,-0.219964606593278,0.494414279881314,-0.319060496816643,0.293011818900548,-0.863131721626228,1.05586246769678,0.694781532978788,0.154411606636113
"RCA1",-0.125077134949931,-0.436123369617334,-0.425482675552485,-0.61628452100661,-0.374971930637461,-0.239797096655797,-0.579322664235316,-0.0835356629000134,-0.371966486789241,-0.480112142900176,-0.61936431907229,-0.850424763465156,-0.38181116949145,-0.39615341928446,-0.481447134959666,-0.682241494821729,-0.30836567560497,-0.413031286548464,-0.0208043642555493
"CAALFM_C100090WA",0.0192807687263883,0.0109322174429392,0.0765368410016803,-0.432030190535167,-0.635232004729131,-0.449531143552719,-0.091135928298044,-0.426359890505019,-0.277724668926364,-0.369500277711095,-0.0573005047825012,-0.476120777417268,-0.199353232206778,-0.515016321453707,-0.387427846406959,-0.960593236748391,0.0773277258720062,0.0180135577628755,-0.0793811034448545
"CAALFM_C100100CA",-0.498608520203466,-0.425758535729663,-0.604491856453596,-1.005393432755,-0.754867860358077,-0.286655304534298,-0.584855812588523,-2.25253630442948,-0.411330171592322,-0.442169162252299,-0.63611407945085,-1.08458281625616,-0.553586412830734,-0.540404632062142,-0.768959705876304,-1.59387992305684,-0.128634536364316,-0.40224686454897,-0.661439060873333
"CCT8",-0.467641700980282,-0.55316888205146,-0.629086492042583,-0.650381027642492,-0.917731747430082,-0.518849699047779,-0.618213994096602,-1.62686859396314,-0.324753065251949,-0.486744787471661,-0.500364955257278,-0.909779537842258,-0.569505033469597,-0.509560627144503,-0.740780703218592,-0.936959492006133,-0.0604519235776534,-0.322980156760114,-0.118767703867204
"TRP1",-0.395483378876659,-0.436052809775131,-0.471245139749039,-0.0959991747490712,-0.597579219318745,-0.0607974582904821,-0.412462135388227,-0.751931460349436,-0.220636607122784,-0.33394110023003,-0.427632018218577,-0.383168603013291,-0.474050751107469,-0.685064848742718,-0.652562314071594,-0.73290599676766,-0.375348589773268,-0.374916986906548,-0.117331718670577
"VPS53",0.653621866060849,0.36304228825824,0.489551297299746,0.568926830044107,1.2568893055134,0.991112753159261,0.613472054676978,0.543600811647279,0.765365917816712,0.547684172427719,0.52169835266349,0.40757614302551,0.698357167832665,1.20565407348326,0.502984521240432,1.46905114348084,0.365430683288018,0.446262397702604,0.107894320785615
"KEL1",0.826424019411577,0.973275996737669,0.660961559478983,0.405532157909011,1.95413125979626,1.27809100858751,0.741845321270797,0.38091290443731,0.874738011457267,0.828854692758794,0.651997637481317,0.449960802394404,0.865989843847279,1.97505758143482,0.681661167770306,2.58020208090962,0.632325781608499,0.530421121279467,0.165913837241583
"RIM8",-0.58994449524736,0.757445608368229,-1.19683836379597,-0.896414119359125,-0.402807862182408,-0.644536852482785,-1.30916904635759,-0.886528575964218,-0.807333741469327,-0.216420577183005,-1.58525424340452,-1.26674598301201,-0.936829442828988,-0.0967759333867929,-1.41554312843256,-1.30522907353597,-0.513870331910794,-0.85859692928184,-0.447391842804339
"CAALFM_C100160CA",-2.87216105298466,-1.94221351523882,-1.92685273877687,-1.27151006997371,-4.11428400059707,-4.01244117979412,-1.97357039234461,-3.04342287047222,-3.18266521850688,-1.55662510816952,-1.90164294937719,-1.32554402214625,-2.95956131519368,-4.003268552172,-2.20647311566043,-1.16690427408015,-1.46178804907184,-1.38366760719127,-0.25278353384041
"LEU4",-0.773122593807278,-0.728338831041002,0.906359497293919,1.91718770367702,-1.55457458783858,-0.00185375698756322,-0.719021598321793,0.518364590879921,-1.21792453659838,-0.133500859026981,-1.12989494797866,1.44904623007789,-0.688020701390036,-3.76243159485694,-1.09800457557824,-0.588267927613072,-0.419453013980954,-0.830907433858092,-1.85725659389701
"RPL16A",-0.857108419646043,-0.392182400770271,-0.592986519793616,-0.0621154857746966,-1.43270624613031,-0.795654281981025,-0.235718765448092,-0.915639780817305,-0.667611480092251,-0.40642885880695,-0.221866124720777,-0.0921942036915914,-0.7381562852995,-1.16956490249198,-0.459951362995603,-0.189358072976877,-0.0627456699369207,0.109816424237288,0.277572555584517
