Geneid	FL30a	FL30b	FL30c	FS30a	FS30b	FS30c	LL30a	LL30b	LL30c	LS30a	LS30b	LS30c	RL30a	RL30b	RL30c	RS30a	RS30b	RS30c	SL30a	SL30b	SL30c	SS30a	SS30b	SS30c	YL30a	YL30b	YL30c	YS30a	YS30b	YS30c
CAALFM_C100020CA	5032	5013	2356	2709	1779	1336	5819	7488	5564	1805	2306	1295	3490	1954	2863	3487	1515	1477	3867	4559	4437	1524	1369	1257	1823	1510	1628	1379	2192	1998
CAALFM_C100030CA	84	87	40	71	53	37	149	74	121	145	88	35	60	39	66	46	52	65	67	72	78	24	55	44	18	19	17	28	16	29
CTA2	1314	1057	554	720	589	553	3782	3489	3281	931	1257	664	1969	1963	2942	676	575	435	1376	1738	1639	222	567	535	145	172	179	195	148	172
TUP1	14821	15737	8064	9476	6621	7690	14608	17650	20785	9738	10177	6329	13434	8840	12474	10470	10263	8074	16475	18098	21596	8978	5649	6442	7888	6077	6777	11454	7697	5935
MVD	4229	4610	2307	3201	3450	4262	4476	4581	6140	1308	4037	2699	5185	3829	5205	5829	5090	3656	3614	3829	5306	3680	1358	2034	4858	3580	3752	6253	4321	3233
RCA1	1335	1541	838	1022	875	993	1111	1557	1510	2136	1225	832	1296	936	1128	1297	1103	878	1213	1395	1689	1342	730	789	1615	1279	1481	1934	1256	1049
CAALFM_C100090WA	165	180	136	127	77	105	156	20	197	118	114	92	133	87	120	164	139	98	92	115	161	110	34	74	156	137	118	133	138	107
CAALFM_C100100CA	2102	2141	1223	1074	1051	1061	1893	1820	2318	218	822	524	2003	1249	1783	2059	1101	876	1602	1778	2251	1292	324	563	2517	1848	2025	1125	1877	731
CCT8	11037	11484	6352	7110	7599	8984	9087	7714	13162	1525	7132	5445	10815	7606	9807	15609	6354	4612	9774	9970	13654	11561	3583	4866	14372	10928	11883	12686	12482	7919
TRP1	2419	2523	1813	2669	2756	2418	2824	3145	2844	763	2794	2113	2553	1822	2650	2939	2982	2578	1742	2141	2599	2161	1422	1570	2824	2472	2719	2603	2312	2281
VPS53	3334	2678	1483	3241	2362	2020	4498	2820	4309	2202	3613	2260	2774	2189	3092	3435	2865	2731	4523	5259	5076	2880	6469	5541	1764	1345	1689	1813	1846	1526
KEL1	7101	6037	3486	4706	2609	2364	6739	4727	9113	3022	4325	2732	4900	4074	5335	5543	4133	3609	10945	12117	13406	8550	19204	18415	2413	1997	2293	3025	3015	1817
RIM8	2823	2593	2058	981	578	459	1003	593	1158	921	674	409	1201	1080	1177	893	602	560	1654	1386	1423	833	332	375	1188	1090	1395	790	942	747
CAALFM_C100160CA	30878	36656	24043	37793	46683	46623	6398	5257	11822	2595	18336	25199	46156	30942	35058	110691	38250	20904	6693	6138	13063	73748	32780	40079	121782	105136	108476	72555	102878	72762
LEU4	1184	1033	1013	8542	8840	4667	1925	1776	2232	1141	4885	3331	1890	1376	1766	6795	5845	8427	138	143	182	2468	524	376	1812	1445	1824	458	479	305
RPL16A	113253	113517	83461	109723	143439	110136	84981	75123	72231	12828	113188	103413	105307	80978	105908	140846	183421	148825	54805	68050	79494	116910	108804	116708	129258	118815	113354	157864	144042	161145
