#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
1	NC_032089.1	4409	4720	-	3639374	-	CAALFM_C100020CA	XP_719073.1	103	hypothetical protein CAALFM_C100020CA
1	NC_032089.1	8597	8908	-	3639373	-	CAALFM_C100030CA	XP_719072.1	103	hypothetical protein CAALFM_C100030CA
1	NC_032089.1	10718	11485	+	3639372	CTA2	CAALFM_C100040WA	XP_719071.2	255	Cta2p
1	NC_032089.1	12163	13701	+	3639369	TUP1	CAALFM_C100060WA	XP_719068.2	512	chromatin-silencing transcriptional regulator
1	NC_032089.1	13778	14917	+	3639306	MVD	CAALFM_C100070WA	XP_019330598.1	362	diphosphomevalonate decarboxylase
1	NC_032089.1	14910	15761	-	3639303	RCA1	CAALFM_C100080CA	XP_719061.1	283	Rca1p
1	NC_032089.1	15595	16116	+	3639304	-	CAALFM_C100090WA	XP_719062.1	173	hypothetical protein CAALFM_C100090WA
1	NC_032089.1	16600	17328	-	3639325	-	CAALFM_C100100CA	XP_719059.1	242	cardiolipin synthase
1	NC_032089.1	17338	18960	+	3639324	CCT8	CAALFM_C100110WA	XP_719058.1	540	chaperonin-containing T-complex subunit
1	NC_032089.1	18948	19628	-	3639321	TRP1	CAALFM_C100120CA	XP_719055.1	226	phosphoribosylanthranilate isomerase
1	NC_032089.1	19615	21714	-	3639319	VPS53	CAALFM_C100130CA	XP_719053.1	699	Vps53p
1	NC_032089.1	22270	25326	+	3639318	KEL1	CAALFM_C100140WA	XP_719052.1	1018	Kel1p
1	NC_032089.1	25381	27249	-	3639342	RIM8	CAALFM_C100150CA	XP_719051.1	622	Rim8p
1	NC_032089.1	28286	29488	-	3639341	-	CAALFM_C100160CA	XP_719050.1	400	hypothetical protein CAALFM_C100160CA
1	NC_032089.1	29804	31543	+	3639339	LEU4	CAALFM_C100170WA	XP_719048.1	579	2-isopropylmalate synthase
1	NC_032089.1	31842	32444	+	3639338	RPL16A	CAALFM_C100180WA	XP_719047.1	200	ribosomal 60S subunit protein L16A
1	NC_032089.1	32680	33318	-	3639337	-	CAALFM_C100190CA	XP_719046.1	212	hypothetical protein CAALFM_C100190CA
1	NC_032089.1	34099	34446	-	3639336	-	CAALFM_C100200CA	XP_719045.1	115	hypothetical protein CAALFM_C100200CA
1	NC_032089.1	34525	35679	-	3639335	-	CAALFM_C100210CA	XP_719044.2	384	hypothetical protein CAALFM_C100210CA
1	NC_032089.1	37851	39485	+	3639334	PHR2	CAALFM_C100220WA	XP_719043.1	544	1,3-beta-glucanosyltransferase
1	NC_032089.1	40484	41770	-	3639301	BFA1	CAALFM_C100230CA	XP_719042.1	428	Bfa1p
1	NC_032089.1	42605	43504	+	3639300	-	CAALFM_C100270WA	XP_719041.2	300	hypothetical protein CAALFM_C100270WA, partial
1	NC_032089.1	43549	43679	-	30514953	RFC52	CAALFM_C100280CA	XP_019330599.1	43	Rfc52p, partial
1	NC_032089.1	43803	45764	+	3639299	POL93	CAALFM_C100290WA	XP_719040.2	653	Pol93p
1	NC_032089.1	46803	48359	+	3639298	-	CAALFM_C100310WA	XP_719039.1	518	hypothetical protein CAALFM_C100310WA
1	NC_032089.1	48513	49298	+	3639297	-	CAALFM_C100320WA	XP_719038.1	261	retromer subunit
1	NC_032089.1	49295	49843	-	3639296	-	CAALFM_C100330CA	XP_719037.2	182	CCR4-NOT core subunit
1	NC_032089.1	49997	50743	+	3639295	HBR1	CAALFM_C100340WA	XP_719036.1	248	nucleoside-triphosphatase
1	NC_032089.1	50806	51681	-	3639294	HMX1	CAALFM_C100350CA	XP_719035.1	291	Hmx1p
1	NC_032089.1	53099	54442	+	3639293	CDC13	CAALFM_C100360WA	XP_719034.1	447	Cdc13p
1	NC_032089.1	54558	54842	+	30514954	-	CAALFM_C100370WA	XP_019330600.1	94	hypothetical protein CAALFM_C100370WA
1	NC_032089.1	54837	57074	-	3639292	-	CAALFM_C100380CA	XP_719033.1	745	hypothetical protein CAALFM_C100380CA
1	NC_032089.1	59349	62552	+	3639291	ENA2	CAALFM_C100390WA	XP_719032.1	1067	Na(+)-exporting P-type ATPase
1	NC_032089.1	63202	64350	+	3639289	SVF1	CAALFM_C100400WA	XP_719030.1	382	Svf1p
1	NC_032089.1	64696	66324	-	3639287	-	CAALFM_C100410CA	XP_719028.2	542	hexadecenal dehydrogenase
1	NC_032089.1	67843	68814	+	3639286	-	CAALFM_C100420WA	XP_719027.1	323	hypothetical protein CAALFM_C100420WA
1	NC_032089.1	69226	70902	+	3639285	-	CAALFM_C100430WA	XP_719026.2	558	phosphoinositide binding protein
1	NC_032089.1	71068	72581	+	3639317	UBP6	CAALFM_C100440WA	XP_019330601.1	478	ubiquitin-specific protease
1	NC_032089.1	72741	73283	-	30514955	-	CAALFM_C100450CA	XP_019330602.1	150	hypothetical protein CAALFM_C100450CA
1	NC_032089.1	73580	73900	+	3639316	-	CAALFM_C100460WA	XP_719024.1	106	hypothetical protein CAALFM_C100460WA
1	NC_032089.1	74056	75381	-	3639315	-	CAALFM_C100470CA	XP_719023.1	441	N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D
1	NC_032089.1	75573	77828	-	3639314	GCN20	CAALFM_C100480CA	XP_719022.1	751	putative AAA family ATPase
1	NC_032089.1	78008	78367	-	3639313	TTR1	CAALFM_C100490CA	XP_719021.1	119	dithiol glutaredoxin
1	NC_032089.1	78641	79669	-	3639312	GLO1	CAALFM_C100500CA	XP_719020.1	342	lactoylglutathione lyase
1	NC_032089.1	80124	81053	+	3639311	-	CAALFM_C100510WA	XP_719019.1	309	3-methyl-2-oxobutanoate hydroxymethyltransferase
1	NC_032089.1	81233	81901	+	3639310	-	CAALFM_C100520WA	XP_719018.1	222	phosphoglycerate mutase
1	NC_032089.1	82117	84558	-	3639368	-	CAALFM_C100530CA	XP_719017.1	813	hypothetical protein CAALFM_C100530CA
1	NC_032089.1	85080	87248	-	3639367	-	CAALFM_C100540CA	XP_719016.2	722	hypothetical protein CAALFM_C100540CA
1	NC_032089.1	87900	89810	+	3639366	CIS2	CAALFM_C100550WA	XP_719015.2	636	gamma-glutamyltransferase
1	NC_032089.1	90099	91271	+	3639365	CNS1	CAALFM_C100560WA	XP_719014.1	390	HSP70/90 family co-chaperone
1	NC_032089.1	91310	93694	-	3639362	-	CAALFM_C100570CA	XP_719011.2	794	hypothetical protein CAALFM_C100570CA
1	NC_032089.1	93970	94899	+	3639361	-	CAALFM_C100580WA	XP_719010.1	309	hypothetical protein CAALFM_C100580WA
1	NC_032089.1	95214	96494	+	3639360	TUF1	CAALFM_C100590WA	XP_719009.1	426	translation elongation factor Tu
1	NC_032089.1	96816	101423	+	3639383	APC1	CAALFM_C100600WA	XP_719008.2	1535	anaphase promoting complex subunit 1
1	NC_032089.1	101751	103523	+	3639382	PSD1	CAALFM_C100610WA	XP_719007.1	590	phosphatidylserine decarboxylase 1
1	NC_032089.1	103868	104809	+	3639381	MOB2	CAALFM_C100620WA	XP_719006.1	313	Mob2p
1	NC_032089.1	105179	106924	+	3639380	-	CAALFM_C100630WA	XP_719005.1	581	hypothetical protein CAALFM_C100630WA
1	NC_032089.1	107125	111027	-	3639378	RPO41	CAALFM_C100640CA	XP_719003.2	1300	DNA-directed RNA polymerase
1	NC_032089.1	111571	112251	-	3639377	SNF7	CAALFM_C100650CA	XP_719002.1	226	ESCRT-III subunit protein
1	NC_032089.1	112788	113801	-	3639376	-	CAALFM_C100660CA	XP_719001.1	337	t-SNARE syntaxin
1	NC_032089.1	114127	115878	-	3639333	UGA32	CAALFM_C100670CA	XP_719000.1	583	Uga32p
1	NC_032089.1	117319	119442	+	3639332	ASM3	CAALFM_C100680WA	XP_718999.1	707	Asm3p
1	NC_032089.1	119767	122808	+	3639331	RIC1	CAALFM_C100690WA	XP_718998.2	1013	Ric1p
1	NC_032089.1	123066	123431	+	3639330	-	CAALFM_C100700WA	XP_718997.1	121	hypothetical protein CAALFM_C100700WA
1	NC_032089.1	123869	125597	-	3639329	TUB2	CAALFM_C100710CA	XP_019330603.1	449	beta-tubulin
1	NC_032089.1	126791	128620	-	3639328	CMP1	CAALFM_C100730CA	XP_718995.2	609	calcineurin catalytic subunit A
1	NC_032089.1	129260	130681	-	3639327	SPE1	CAALFM_C100740CA	XP_718994.2	473	ornithine decarboxylase
1	NC_032089.1	131413	133938	-	3639326	VPS27	CAALFM_C100750CA	XP_718993.2	841	ESCRT-0 subunit protein
1	NC_032089.1	134254	134913	+	3639351	-	CAALFM_C100760WA	XP_718992.1	219	hypothetical protein CAALFM_C100760WA
1	NC_032089.1	135654	136436	-	3639350	ROT1	CAALFM_C100770CA	XP_718991.1	260	Rot1p
1	NC_032089.1	138574	140931	-	3639349	HGC1	CAALFM_C100780CA	XP_718990.2	785	cyclin
1	NC_032089.1	150607	151707	+	3639348	-	CAALFM_C100790WA	XP_718989.2	366	hypothetical protein CAALFM_C100790WA
1	NC_032089.1	154633	155286	-	3639347	ERG2	CAALFM_C100800CA	XP_718988.2	217	C-8 sterol isomerase
1	NC_032089.1	155443	156324	+	3639346	-	CAALFM_C100810WA	XP_718987.2	293	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit
1	NC_032089.1	156643	157689	+	3639345	-	CAALFM_C100820WA	XP_718986.1	348	hypothetical protein CAALFM_C100820WA
1	NC_032089.1	158725	160524	+	3639344	-	CAALFM_C100830WA	XP_718985.2	599	hypothetical protein CAALFM_C100830WA
1	NC_032089.1	160942	162672	-	3639343	NRM1	CAALFM_C100840CA	XP_718984.2	576	Nrm1p
1	NC_032089.1	167077	167823	+	3639359	IHD2	CAALFM_C100850WA	XP_718983.1	248	Ihd2p
1	NC_032089.1	168533	169534	+	3639358	-	CAALFM_C100860WA	XP_718982.1	333	hypothetical protein CAALFM_C100860WA
1	NC_032089.1	170158	172254	+	3639356	LRO1	CAALFM_C100870WA	XP_718980.2	698	phospholipid:diacylglycerol acyltransferase
1	NC_032089.1	174459	176084	+	3639355	-	CAALFM_C100880WA	XP_718979.2	541	hypothetical protein CAALFM_C100880WA
1	NC_032089.1	176325	178475	+	3639354	-	CAALFM_C100890WA	XP_718978.1	716	ERMES complex Ca(2+)-binding regulatory GTPase
1	NC_032089.1	178690	179307	+	3639352	RRS1	CAALFM_C100900WA	XP_718976.1	205	Rrs1p
1	NC_032089.1	179823	180829	+	3639284	-	CAALFM_C100910WA	XP_019330604.1	252	hypothetical protein CAALFM_C100910WA
1	NC_032089.1	181403	185239	+	3639283	-	CAALFM_C100920WA	XP_718974.1	1278	hypothetical protein CAALFM_C100920WA
1	NC_032089.1	185507	190145	-	3639282	SIN3	CAALFM_C100930CA	XP_019330605.1	1411	transcriptional regulator
1	NC_032089.1	190698	191156	+	30514957	RPB11	CAALFM_C100940WA	XP_019330606.1	124	DNA-directed RNA polymerase II core subunit
1	NC_032089.1	191444	193405	-	3639281	CDC5	CAALFM_C100950CA	XP_718972.1	653	polo kinase
1	NC_032089.1	194676	197798	-	3639280	SET1	CAALFM_C100960CA	XP_718971.1	1040	histone methyltransferase
1	NC_032089.1	198221	198746	+	30514958	-	CAALFM_C100970WA	XP_019330607.1	152	hypothetical protein CAALFM_C100970WA
1	NC_032089.1	198951	199220	+	30514959	-	CAALFM_C100980WA	XP_019330608.1	89	hypothetical protein CAALFM_C100980WA
1	NC_032089.1	199316	202249	-	3640179	NMA111	CAALFM_C100990CA	XP_718111.2	977	Nma111p
1	NC_032089.1	202532	203623	-	3640180	-	CAALFM_C101000CA	XP_718112.1	363	origin recognition complex subunit 6
1	NC_032089.1	203945	204415	+	3640181	-	CAALFM_C101010WA	XP_718113.2	156	hypothetical protein CAALFM_C101010WA
1	NC_032089.1	205265	206284	+	3640182	HMT1	CAALFM_C101030WA	XP_718114.1	339	protein-arginine omega-N methyltransferase
1	NC_032089.1	206477	206920	+	3640183	-	CAALFM_C101040WA	XP_718115.1	147	hypothetical protein CAALFM_C101040WA
1	NC_032089.1	206917	207855	-	3640170	-	CAALFM_C101050CA	XP_718116.1	312	trans-2-enoyl-CoA reductase (NADPH)
1	NC_032089.1	208285	208740	+	3640171	MBF1	CAALFM_C101060WA	XP_718117.1	151	Mbf1p
1	NC_032089.1	209078	210502	-	3640172	-	CAALFM_C101070CA	XP_718118.2	474	hypothetical protein CAALFM_C101070CA
1	NC_032089.1	210872	212377	+	3640173	-	CAALFM_C101080WA	XP_718119.1	501	hypothetical protein CAALFM_C101080WA
1	NC_032089.1	212439	212747	-	3640174	-	CAALFM_C101090CA	XP_718120.1	102	mitochondrial 37S ribosomal protein RSM27
1	NC_032089.1	213635	220399	+	3640175	CCH1	CAALFM_C101100WA	XP_718121.1	2254	Cch1p
1	NC_032089.1	220539	222068	-	3640177	ZPR1	CAALFM_C101110CA	XP_718123.1	509	zinc finger-containing protein
1	NC_032089.1	224667	226874	+	3640178	-	CAALFM_C101130WA	XP_718124.1	735	ubiquitin-binding SDF ubiquitin ligase complex subunit
1	NC_032089.1	227677	229779	-	3640202	-	CAALFM_C101140CA	XP_718125.1	700	hypothetical protein CAALFM_C101140CA
1	NC_032089.1	232865	234934	-	3640203	-	CAALFM_C101150CA	XP_718126.1	689	tRNA methyltransferase
1	NC_032089.1	235077	235889	-	3640204	-	CAALFM_C101160CA	XP_718127.2	270	exosome non-catalytic core subunit
1	NC_032089.1	236084	238300	-	3640205	ZCF17	CAALFM_C101170CA	XP_718128.2	738	Zcf17p
1	NC_032089.1	239091	240914	-	3640206	-	CAALFM_C101180CA	XP_718129.1	607	hypothetical protein CAALFM_C101180CA
1	NC_032089.1	241113	242504	-	3640207	-	CAALFM_C101190CA	XP_718130.1	463	N,N-dimethylaniline monooxygenase
1	NC_032089.1	242741	244663	+	3640208	STB5	CAALFM_C101200WA	XP_718131.1	640	Stb5p
1	NC_032089.1	245206	246453	+	3640209	-	CAALFM_C101210WA	XP_718132.1	415	hypothetical protein CAALFM_C101210WA
1	NC_032089.1	246661	247413	-	3640210	-	CAALFM_C101220CA	XP_718133.1	250	hypothetical protein CAALFM_C101220CA
1	NC_032089.1	248816	249865	+	3640211	IFD3	CAALFM_C101240WA	XP_718134.1	349	Ifd3p
1	NC_032089.1	250103	251977	+	3640212	-	CAALFM_C101250WA	XP_718135.2	624	hypothetical protein CAALFM_C101250WA
1	NC_032089.1	252036	252488	-	3640214	TRS20	CAALFM_C101260CA	XP_718137.1	150	TRAPP subunit
1	NC_032089.1	253158	254441	+	3640215	CTA9	CAALFM_C101270WA	XP_718138.2	427	Cta9p
1	NC_032089.1	254618	254965	-	3640217	MED22	CAALFM_C101280CA	XP_718140.2	115	Med22p
1	NC_032089.1	255170	257443	-	3640184	-	CAALFM_C101290CA	XP_718141.2	757	hypothetical protein CAALFM_C101290CA
1	NC_032089.1	257921	258904	+	3640185	-	CAALFM_C101300WA	XP_718142.1	327	hypothetical protein CAALFM_C101300WA
1	NC_032089.1	259647	261173	+	3640187	MRS7	CAALFM_C101320WA	XP_718144.1	508	Mrs7p
1	NC_032089.1	261359	261838	-	3640188	DUT1	CAALFM_C101330CA	XP_718145.1	159	bifunctional dITP/dUTP diphosphatase
1	NC_032089.1	262217	263083	-	3640189	-	CAALFM_C101340CA	XP_718146.1	288	hypothetical protein CAALFM_C101340CA
